Generation,Edition,Card Number,Card Name,Card Type,Rarity,Creature Type,Magic Type,Is Equip,Armor Level,Speed,Health Points,Attack Name,Attack Dice,Modifier,Extended Effect Description,Flavor Text,Image File Name,Notes,Magic Type Normalized,Magic Subtype,Effect Count,Effect Types,Needs Manual Review,Card Definition JSON
2,2nd Edition,001,All In One,Magic,Legendary,,Infinite,TRUE,,,,All In One,,,Add your opponent's primary creature's base Atk Dice Rolls and Modifier to the equipped creature. This effect cannot stack.,AHHHHHHHHHHHH!!!!!,,,INFINITE,EQUIP,1,APPLY_DYNAMIC_STAT_MODIFIER,FALSE,"{""cardNumber"": ""001"", ""cardName"": ""All In One"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""MAGIC"", ""rarity"": ""Legendary"", ""creatureType"": null, ""magicType"": ""INFINITE"", ""magicSubtype"": ""EQUIP"", ""isEquip"": true, ""baseStats"": {""AL"": null, ""SPD"": null, ""HP"": null, ""attackName"": ""All In One"", ""attackDice"": null, ""modifier"": null, ""baseHitDice"": null}, ""rawEffectText"": ""Add your opponent's primary creature's base Atk Dice Rolls and Modifier to the equipped creature. This effect cannot stack."", ""effects"": [{""id"": ""001-E01"", ""trigger"": ""WHILE_EQUIPPED"", ""condition"": {""type"": ""TEXT"", ""text"": ""Equipped creature exists and opponent has a primary creature""}, ""actionType"": ""APPLY_DYNAMIC_STAT_MODIFIER"", ""effectGroup"": ""Dynamic Stat Modifier"", ""actionText"": ""Copy opponent primary base Atk Dice Rolls and base Modifier as bonuses"", ""target"": ""Equipped creature"", ""value"": ""Add opponent primary base Atk Dice Rolls and base Modifier"", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""applyDynamicStatModifier"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""Add opponent primary base Atk Dice Rolls and base Modifier"", ""statChanges"": [{""stat"": ""ATK_DICE_ROLLS"", ""operation"": ""ADD_DYNAMIC"", ""source"": ""OPPONENT_PRIMARY_CREATURE.BASE_ATK_DICE_ROLLS""}, {""stat"": ""MODIFIER"", ""operation"": ""ADD_DYNAMIC"", ""source"": ""OPPONENT_PRIMARY_CREATURE.BASE_MODIFIER""}], ""condition"": {""type"": ""TEXT"", ""text"": ""Equipped creature exists and opponent has a primary creature""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": ""DO_NOT_STACK"", ""tickTiming"": null}, ""notes"": ""Do not stack multiple copies of this effect. Track source card so recalculation follows opponent primary creature changes."", ""needsReview"": false}], ""notes"": """"}"
2,2nd Edition,002,Celestial Power,Magic,Legendary,,Infinite,TRUE,,,,Celestial Power,,,This card cannot be negated when played. Atk: +8. Hit: +8. SPD: +8.,CAN'T HANDLE THIS POWER,,,INFINITE,EQUIP,2,APPLY_STAT_MODIFIER; SET_CAN_BE_NEGATED,FALSE,"{""cardNumber"": ""002"", ""cardName"": ""Celestial Power"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""MAGIC"", ""rarity"": ""Legendary"", ""creatureType"": null, ""magicType"": ""INFINITE"", ""magicSubtype"": ""EQUIP"", ""isEquip"": true, ""baseStats"": {""AL"": null, ""SPD"": null, ""HP"": null, ""attackName"": ""Celestial Power"", ""attackDice"": null, ""modifier"": null, ""baseHitDice"": null}, ""rawEffectText"": ""This card cannot be negated when played. Atk: +8. Hit: +8. SPD: +8."", ""effects"": [{""id"": ""002-E01"", ""trigger"": ""ON_PLAY"", ""condition"": {""type"": ""TEXT"", ""text"": ""This card is played when played""}, ""actionType"": ""SET_CAN_BE_NEGATED"", ""effectGroup"": ""Negation Rule"", ""actionText"": ""Card cannot be negated"", ""target"": ""This card"", ""value"": ""Cannot be negated"", ""duration"": {""text"": ""While resolving"", ""type"": ""WHILE_RESOLVING""}, ""reusableFunction"": ""setCanBeNegated"", ""params"": {""target"": ""This card"", ""valueText"": ""Cannot be negated"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""This card is played when played""}, ""duration"": {""text"": ""While resolving"", ""type"": ""WHILE_RESOLVING""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""canBeNegated"": false}, ""notes"": ""Set response flags so this card cannot be negated during its response window."", ""needsReview"": false}, {""id"": ""002-E02"", ""trigger"": ""WHILE_EQUIPPED"", ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""actionType"": ""APPLY_STAT_MODIFIER"", ""effectGroup"": ""Stat Modifier"", ""actionText"": ""Apply stat modifiers"", ""target"": ""Equipped creature"", ""value"": ""ATK_BONUS ADD 8; HIT_BONUS ADD 8; SPD ADD 8"", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""applyStatModifier"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""ATK_BONUS ADD 8; HIT_BONUS ADD 8; SPD ADD 8"", ""statChanges"": [{""stat"": ""ATK_BONUS"", ""operation"": ""ADD"", ""value"": 8}, {""stat"": ""HIT_BONUS"", ""operation"": ""ADD"", ""value"": 8}, {""stat"": ""SPD"", ""operation"": ""ADD"", ""value"": 8}], ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Basic stat/dice modifier."", ""needsReview"": false}], ""notes"": """"}"
2,2nd Edition,003,Beaver,Creature,Common,Beast,,FALSE,3,8,10,Tooth Chomp,1,+0,,"These small aquatic rodents are not strong predators. However, what they lack in strength they make up for in their incredible ability to build.",,No effect text shown on card.,,,0,,FALSE,"{""cardNumber"": ""003"", ""cardName"": ""Beaver"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Common"", ""creatureType"": ""Beast"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""baseStats"": {""AL"": 3, ""SPD"": 8, ""HP"": 10, ""attackName"": ""Tooth Chomp"", ""attackDice"": 1, ""modifier"": 0, ""baseHitDice"": 2}, ""rawEffectText"": """", ""effects"": [], ""notes"": ""No effect text shown on card.""}"
2,2nd Edition,004,Undead King,Creature,Mythic,Undead,,FALSE,12,10,100,Undead Army,4,+5,"During your turn, roll 1 die. If the result is 3-6, you may summon a creature from your cemetery as a Limited Summon. Limited Summon(s) return to the cemetery if this card leaves the field, switches control, or this effect is negated.","And I looked, and behold The Undead King; his name was Death, and the damned followed him. Power was given to him over Ward, to raise the dead and reap souls — a new order upon high.",,,,,2,RETURN_LINKED_SUMMON; SUMMON_LIMITED_CREATURE,FALSE,"{""cardNumber"": ""004"", ""cardName"": ""Undead King"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Mythic"", ""creatureType"": ""Undead"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""baseStats"": {""AL"": 12, ""SPD"": 10, ""HP"": 100, ""attackName"": ""Undead Army"", ""attackDice"": 4, ""modifier"": 5, ""baseHitDice"": 2}, ""rawEffectText"": ""During your turn, roll 1 die. If the result is 3-6, you may summon a creature from your cemetery as a Limited Summon. Limited Summon(s) return to the cemetery if this card leaves the field, switches control, or this effect is negated."", ""effects"": [{""id"": ""004-E01"", ""trigger"": ""DURING_YOUR_TURN_ACTIVATED"", ""condition"": {""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [3, 4, 5, 6], ""text"": ""Roll 1 die; success 3-6""}, ""actionType"": ""SUMMON_LIMITED_CREATURE"", ""effectGroup"": ""Limited Summon"", ""actionText"": ""Summon creature from cemetery as Limited Summon"", ""target"": ""Creature from your cemetery"", ""value"": ""Limited Summon 1 creature from cemetery"", ""duration"": {""text"": ""While source effect remains active"", ""type"": ""WHILE_ON_FIELD""}, ""reusableFunction"": ""summonLimitedFromZone"", ""params"": {""target"": ""Creature from your cemetery"", ""valueText"": ""Limited Summon 1 creature from cemetery"", ""statChanges"": [], ""condition"": {""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [3, 4, 5, 6], ""text"": ""Roll 1 die; success 3-6""}, ""duration"": {""text"": ""While source effect remains active"", ""type"": ""WHILE_ON_FIELD""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""fromZone"": ""YOUR_CEMETERY"", ""maxCount"": 1, ""summonType"": ""LIMITED_SUMMON""}, ""notes"": ""Limited summon returns to cemetery if Undead King leaves field, switches control, or this effect is negated. Limited summons still obey global limited-summon rules."", ""needsReview"": false}, {""id"": ""004-E02"", ""trigger"": ""ON_SOURCE_INVALIDATED"", ""condition"": {""type"": ""SOURCE_INVALIDATED"", ""text"": ""This card leaves field, switches control, or this effect is negated""}, ""actionType"": ""RETURN_LINKED_SUMMON"", ""effectGroup"": ""Zone Movement"", ""actionText"": ""Return linked Limited Summon(s) to cemetery"", ""target"": ""Linked Limited Summon(s)"", ""value"": ""Return to cemetery"", ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""reusableFunction"": ""returnLinkedSummon"", ""params"": {""target"": ""Linked Limited Summon(s)"", ""valueText"": ""Return to cemetery"", ""statChanges"": [], ""condition"": {""type"": ""SOURCE_INVALIDATED"", ""text"": ""This card leaves field, switches control, or this effect is negated""}, ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""toZone"": ""YOUR_CEMETERY""}, ""notes"": ""Source-linked cleanup for Undead King."", ""needsReview"": false}], ""notes"": """"}"
2,2nd Edition,005,Creator's Gift,Magic,Legendary,,Infinite,TRUE,,,,Creator's Gift,,,This card cannot be negated when played. Atk: +6. Hit: +6. Atk Dice Rolls: +2. Hit Dice Rolls: +2.,AREN'T YOU SPECIAL,,,INFINITE,EQUIP,2,APPLY_STAT_MODIFIER; SET_CAN_BE_NEGATED,FALSE,"{""cardNumber"": ""005"", ""cardName"": ""Creator's Gift"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""MAGIC"", ""rarity"": ""Legendary"", ""creatureType"": null, ""magicType"": ""INFINITE"", ""magicSubtype"": ""EQUIP"", ""isEquip"": true, ""baseStats"": {""AL"": null, ""SPD"": null, ""HP"": null, ""attackName"": ""Creator's Gift"", ""attackDice"": null, ""modifier"": null, ""baseHitDice"": null}, ""rawEffectText"": ""This card cannot be negated when played. Atk: +6. Hit: +6. Atk Dice Rolls: +2. Hit Dice Rolls: +2."", ""effects"": [{""id"": ""005-E01"", ""trigger"": ""ON_PLAY"", ""condition"": {""type"": ""TEXT"", ""text"": ""This card is played when played""}, ""actionType"": ""SET_CAN_BE_NEGATED"", ""effectGroup"": ""Negation Rule"", ""actionText"": ""Card cannot be negated"", ""target"": ""This card"", ""value"": ""Cannot be negated"", ""duration"": {""text"": ""While resolving"", ""type"": ""WHILE_RESOLVING""}, ""reusableFunction"": ""setCanBeNegated"", ""params"": {""target"": ""This card"", ""valueText"": ""Cannot be negated"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""This card is played when played""}, ""duration"": {""text"": ""While resolving"", ""type"": ""WHILE_RESOLVING""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""canBeNegated"": false}, ""notes"": ""Set response flags so this card cannot be negated during its response window."", ""needsReview"": false}, {""id"": ""005-E02"", ""trigger"": ""WHILE_EQUIPPED"", ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""actionType"": ""APPLY_STAT_MODIFIER"", ""effectGroup"": ""Stat Modifier"", ""actionText"": ""Apply stat modifiers"", ""target"": ""Equipped creature"", ""value"": ""ATK_BONUS ADD 6; HIT_BONUS ADD 6; ATK_DICE_ROLLS ADD 2; HIT_DICE_ROLLS ADD 2"", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""applyStatModifier"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""ATK_BONUS ADD 6; HIT_BONUS ADD 6; ATK_DICE_ROLLS ADD 2; HIT_DICE_ROLLS ADD 2"", ""statChanges"": [{""stat"": ""ATK_BONUS"", ""operation"": ""ADD"", ""value"": 6}, {""stat"": ""HIT_BONUS"", ""operation"": ""ADD"", ""value"": 6}, {""stat"": ""ATK_DICE_ROLLS"", ""operation"": ""ADD"", ""value"": 2}, {""stat"": ""HIT_DICE_ROLLS"", ""operation"": ""ADD"", ""value"": 2}], ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Basic stat/dice modifier."", ""needsReview"": false}], ""notes"": """"}"
2,2nd Edition,006,Electroloon,Creature,Rare,Beast,,FALSE,9,8,60,Feather Shock,2,+3,"All creatures on the opposing side of the field are stunned and cannot inflict Atk damage. At the beginning of their turn, they may roll 1 die. If the result is 1-2, this effect ends.","When The Creator arrived on Ward, a loon was struck by cosmic lightning. It is now worshipped as a god by the primitive loons of the northern lakes.",,,,,2,APPLY_STATUS_AURA; APPLY_STATUS_WITH_ESCAPE_ROLL,FALSE,"{""cardNumber"": ""006"", ""cardName"": ""Electroloon"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Rare"", ""creatureType"": ""Beast"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""baseStats"": {""AL"": 9, ""SPD"": 8, ""HP"": 60, ""attackName"": ""Feather Shock"", ""attackDice"": 2, ""modifier"": 3, ""baseHitDice"": 2}, ""rawEffectText"": ""All creatures on the opposing side of the field are stunned and cannot inflict Atk damage. At the beginning of their turn, they may roll 1 die. If the result is 1-2, this effect ends."", ""effects"": [{""id"": ""006-E01"", ""trigger"": ""WHILE_ON_FIELD"", ""condition"": {""type"": ""TEXT"", ""text"": ""Opposing side of field""}, ""actionType"": ""APPLY_STATUS_AURA"", ""effectGroup"": ""Status Aura"", ""actionText"": ""Apply stunned status to opposing creatures"", ""target"": ""All opposing creatures"", ""value"": ""Stunned; cannot inflict Atk damage"", ""duration"": {""text"": ""Until escape roll succeeds or source leaves field"", ""type"": ""TEXT""}, ""reusableFunction"": ""applyStatusAura"", ""params"": {""target"": ""All opposing creatures"", ""valueText"": ""Stunned; cannot inflict Atk damage"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Opposing side of field""}, ""duration"": {""text"": ""Until escape roll succeeds or source leaves field"", ""type"": ""TEXT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""status"": ""STUNNED"", ""canInflictAtkDamage"": false}, ""notes"": ""Affected creatures can attempt an escape roll at the beginning of their controller's turn."", ""needsReview"": false}, {""id"": ""006-E02"", ""trigger"": ""AT_BEGINNING_OF_AFFECTED_PLAYER_TURN"", ""condition"": {""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [1, 2], ""text"": ""Roll 1 die; success 1-2""}, ""actionType"": ""APPLY_STATUS_WITH_ESCAPE_ROLL"", ""effectGroup"": ""Status Escape Roll"", ""actionText"": ""Resolve escape roll and end status"", ""target"": ""Affected opposing creatures"", ""value"": ""End Electroloon stun on 1-2"", ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""reusableFunction"": ""applyStatusWithEscapeRoll"", ""params"": {""target"": ""Affected opposing creatures"", ""valueText"": ""End Electroloon stun on 1-2"", ""statChanges"": [], ""condition"": {""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [1, 2], ""text"": ""Roll 1 die; success 1-2""}, ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""dieSize"": 6, ""successValues"": [1, 2]}, ""notes"": ""If escape succeeds, remove this effect from affected creatures."", ""needsReview"": false}], ""notes"": """"}"
2,2nd Edition,007,Absolute Terror,Magic,Legendary,,Infinite,TRUE,,,,Absolute Terror,,,"Equip to opponent's creature. Every time your opponent draws a card, inflict 10 damage to their primary creature.",NIGHTMARE FUEL,,,INFINITE,EQUIP,1,DEAL_DAMAGE_ON_DRAW,FALSE,"{""cardNumber"": ""007"", ""cardName"": ""Absolute Terror"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""MAGIC"", ""rarity"": ""Legendary"", ""creatureType"": null, ""magicType"": ""INFINITE"", ""magicSubtype"": ""EQUIP"", ""isEquip"": true, ""baseStats"": {""AL"": null, ""SPD"": null, ""HP"": null, ""attackName"": ""Absolute Terror"", ""attackDice"": null, ""modifier"": null, ""baseHitDice"": null}, ""rawEffectText"": ""Equip to opponent's creature. Every time your opponent draws a card, inflict 10 damage to their primary creature."", ""effects"": [{""id"": ""007-E01"", ""trigger"": ""ON_OPPONENT_DRAW_CARD"", ""condition"": {""type"": ""TEXT"", ""text"": ""Opponent draws a card""}, ""actionType"": ""DEAL_DAMAGE_ON_DRAW"", ""effectGroup"": ""Triggered Damage"", ""actionText"": ""Deal damage to opponent primary creature"", ""target"": ""Opponent primary creature"", ""value"": ""10 damage"", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""dealDamageOnDraw"", ""params"": {""target"": ""Opponent primary creature"", ""valueText"": ""10 damage"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Opponent draws a card""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": ""EFFECT_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""amount"": 10}, ""notes"": ""Card is equipped to opponent's creature, but damage is dealt to opponent's current primary creature."", ""needsReview"": false}], ""notes"": """"}"
2,2nd Edition,008,Raccoon,Creature,Common,Beast,,FALSE,4,10,20,Scratch,1,+1,,Raccoons are small woodland creatures who often venture into civilization and steal food from trash containers.,,No effect text shown on card.,,,0,,FALSE,"{""cardNumber"": ""008"", ""cardName"": ""Raccoon"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Common"", ""creatureType"": ""Beast"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""baseStats"": {""AL"": 4, ""SPD"": 10, ""HP"": 20, ""attackName"": ""Scratch"", ""attackDice"": 1, ""modifier"": 1, ""baseHitDice"": 2}, ""rawEffectText"": """", ""effects"": [], ""notes"": ""No effect text shown on card.""}"
2,2nd Edition,009,Bio-Regeneration,Magic,Epic,,Infinite,TRUE,,,,Bio-Regeneration,,,Can only be equipped to a creature with 9 or less remaining HP. Heal 30 HP. 2x Hit Roll results for this creature. 2x Atk Damage for this creature.,YOU ALMOST HAD ME,,,INFINITE,EQUIP,4,APPLY_ATTACK_DAMAGE_MULTIPLIER; APPLY_STAT_MODIFIER; HEAL_CREATURE; VALIDATE_SUMMON_REQUIREMENT,FALSE,"{""cardNumber"": ""009"", ""cardName"": ""Bio-Regeneration"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""MAGIC"", ""rarity"": ""Epic"", ""creatureType"": null, ""magicType"": ""INFINITE"", ""magicSubtype"": ""EQUIP"", ""isEquip"": true, ""baseStats"": {""AL"": null, ""SPD"": null, ""HP"": null, ""attackName"": ""Bio-Regeneration"", ""attackDice"": null, ""modifier"": null, ""baseHitDice"": null}, ""rawEffectText"": ""Can only be equipped to a creature with 9 or less remaining HP. Heal 30 HP. 2x Hit Roll results for this creature. 2x Atk Damage for this creature."", ""effects"": [{""id"": ""009-E01"", ""trigger"": ""EQUIP_REQUIREMENT"", ""condition"": {""type"": ""TEXT"", ""text"": ""Target creature has 9 or less remaining HP""}, ""actionType"": ""VALIDATE_SUMMON_REQUIREMENT"", ""effectGroup"": ""Equip Requirement"", ""actionText"": ""Validate equip target"", ""target"": ""Target creature"", ""value"": ""Remaining HP must be 9 or less"", ""duration"": {""text"": ""Before equip"", ""type"": ""BEFORE_EQUIP""}, ""reusableFunction"": ""validateSummonRequirement"", ""params"": {""target"": ""Target creature"", ""valueText"": ""Remaining HP must be 9 or less"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Target creature has 9 or less remaining HP""}, ""duration"": {""text"": ""Before equip"", ""type"": ""BEFORE_EQUIP""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""remainingHpMax"": 9}, ""notes"": ""This is an equip restriction, not a summon restriction."", ""needsReview"": false}, {""id"": ""009-E02"", ""trigger"": ""ON_EQUIP"", ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""actionType"": ""HEAL_CREATURE"", ""effectGroup"": ""Healing"", ""actionText"": ""Heal equipped creature"", ""target"": ""Equipped creature"", ""value"": ""Heal 30 HP"", ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""reusableFunction"": ""healFlat"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""Heal 30 HP"", ""statChanges"": [], ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""amount"": 30}, ""notes"": ""Healing cannot exceed base HP."", ""needsReview"": false}, {""id"": ""009-E03"", ""trigger"": ""WHILE_EQUIPPED"", ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""actionType"": ""APPLY_STAT_MODIFIER"", ""effectGroup"": ""Roll Result Multiplier"", ""actionText"": ""Double Hit Roll results"", ""target"": ""Equipped creature"", ""value"": ""2x Hit Roll results"", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""applyStatModifier"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""2x Hit Roll results"", ""statChanges"": [{""stat"": ""HIT_ROLL_RESULT_MULTIPLIER"", ""operation"": ""MULTIPLY"", ""value"": 2}], ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Multiply the final Hit Roll result by 2 after dice and modifiers unless engine decides otherwise."", ""needsReview"": false}, {""id"": ""009-E04"", ""trigger"": ""WHILE_EQUIPPED"", ""condition"": {""type"": ""TEXT"", ""text"": ""Equipped creature inflicts Atk damage""}, ""actionType"": ""APPLY_ATTACK_DAMAGE_MULTIPLIER"", ""effectGroup"": ""Damage Multiplier"", ""actionText"": ""Double Atk damage"", ""target"": ""Equipped creature attack"", ""value"": ""2x Atk damage"", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""applyConditionalDamageMultiplier"", ""params"": {""target"": ""Equipped creature attack"", ""valueText"": ""2x Atk damage"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Equipped creature inflicts Atk damage""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": ""ATTACK_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""multiplier"": 2}, ""notes"": """", ""needsReview"": false}], ""notes"": """"}"
2,2nd Edition,010,Man Owl,Creature,Epic,Beast,,FALSE,10,11,100,Night Claw,3,+5,,"Legend says this creature was once a man cursed by The Old God for refusing to offer his prized luck. Now he is doomed to hunt for eternity, transformed into a hideous owl-like beast.",,No effect text shown on card.,,,0,,FALSE,"{""cardNumber"": ""010"", ""cardName"": ""Man Owl"", ""generation"": ""2"", ""edition"": ""2nd Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Epic"", ""creatureType"": ""Beast"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""baseStats"": {""AL"": 10, ""SPD"": 11, ""HP"": 100, ""attackName"": ""Night Claw"", ""attackDice"": 3, ""modifier"": 5, ""baseHitDice"": 2}, ""rawEffectText"": """", ""effects"": [], ""notes"": ""No effect text shown on card.""}"
