card_number,card_name,effect_id,action_order,trigger,condition,effect_group,action_type,reusable_function,target,value,duration,needs_review,notes,original_effect_text
001,All In One,001-E01,1,WHILE_EQUIPPED,Equipped creature exists and opponent has a primary creature,Dynamic Stat Modifier,APPLY_DYNAMIC_STAT_MODIFIER,applyDynamicStatModifier,Equipped creature,Add opponent primary base Atk Dice Rolls and base Modifier,While equipped,FALSE,Do not stack multiple copies of this effect. Track source card so recalculation follows opponent primary creature changes.,Add your opponent's primary creature's base Atk Dice Rolls and Modifier to the equipped creature. This effect cannot stack.
002,Celestial Power,002-E01,1,ON_PLAY,This card is played when played,Negation Rule,SET_CAN_BE_NEGATED,setCanBeNegated,This card,Cannot be negated,While resolving,FALSE,Set response flags so this card cannot be negated during its response window.,This card cannot be negated when played. Atk: +8. Hit: +8. SPD: +8.
002,Celestial Power,002-E02,2,WHILE_EQUIPPED,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,ATK_BONUS ADD 8; HIT_BONUS ADD 8; SPD ADD 8,While equipped,FALSE,Basic stat/dice modifier.,This card cannot be negated when played. Atk: +8. Hit: +8. SPD: +8.
004,Undead King,004-E01,1,DURING_YOUR_TURN_ACTIVATED,Roll 1 die; success 3-6,Limited Summon,SUMMON_LIMITED_CREATURE,summonLimitedFromZone,Creature from your cemetery,Limited Summon 1 creature from cemetery,While source effect remains active,FALSE,"Limited summon returns to cemetery if Undead King leaves field, switches control, or this effect is negated. Limited summons still obey global limited-summon rules.","During your turn, roll 1 die. If the result is 3-6, you may summon a creature from your cemetery as a Limited Summon. Limited Summon(s) return to the cemetery if this card leaves the field, switches control, or this effect is negated."
004,Undead King,004-E02,2,ON_SOURCE_INVALIDATED,"This card leaves field, switches control, or this effect is negated",Zone Movement,RETURN_LINKED_SUMMON,returnLinkedSummon,Linked Limited Summon(s),Return to cemetery,Instant,FALSE,Source-linked cleanup for Undead King.,"During your turn, roll 1 die. If the result is 3-6, you may summon a creature from your cemetery as a Limited Summon. Limited Summon(s) return to the cemetery if this card leaves the field, switches control, or this effect is negated."
005,Creator's Gift,005-E01,1,ON_PLAY,This card is played when played,Negation Rule,SET_CAN_BE_NEGATED,setCanBeNegated,This card,Cannot be negated,While resolving,FALSE,Set response flags so this card cannot be negated during its response window.,This card cannot be negated when played. Atk: +6. Hit: +6. Atk Dice Rolls: +2. Hit Dice Rolls: +2.
005,Creator's Gift,005-E02,2,WHILE_EQUIPPED,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,ATK_BONUS ADD 6; HIT_BONUS ADD 6; ATK_DICE_ROLLS ADD 2; HIT_DICE_ROLLS ADD 2,While equipped,FALSE,Basic stat/dice modifier.,This card cannot be negated when played. Atk: +6. Hit: +6. Atk Dice Rolls: +2. Hit Dice Rolls: +2.
006,Electroloon,006-E01,1,WHILE_ON_FIELD,Opposing side of field,Status Aura,APPLY_STATUS_AURA,applyStatusAura,All opposing creatures,Stunned; cannot inflict Atk damage,Until escape roll succeeds or source leaves field,FALSE,Affected creatures can attempt an escape roll at the beginning of their controller's turn.,"All creatures on the opposing side of the field are stunned and cannot inflict Atk damage. At the beginning of their turn, they may roll 1 die. If the result is 1-2, this effect ends."
006,Electroloon,006-E02,2,AT_BEGINNING_OF_AFFECTED_PLAYER_TURN,Roll 1 die; success 1-2,Status Escape Roll,APPLY_STATUS_WITH_ESCAPE_ROLL,applyStatusWithEscapeRoll,Affected opposing creatures,End Electroloon stun on 1-2,Instant,FALSE,"If escape succeeds, remove this effect from affected creatures.","All creatures on the opposing side of the field are stunned and cannot inflict Atk damage. At the beginning of their turn, they may roll 1 die. If the result is 1-2, this effect ends."
007,Absolute Terror,007-E01,1,ON_OPPONENT_DRAW_CARD,Opponent draws a card,Triggered Damage,DEAL_DAMAGE_ON_DRAW,dealDamageOnDraw,Opponent primary creature,10 damage,While equipped,FALSE,"Card is equipped to opponent's creature, but damage is dealt to opponent's current primary creature.","Equip to opponent's creature. Every time your opponent draws a card, inflict 10 damage to their primary creature."
009,Bio-Regeneration,009-E01,1,EQUIP_REQUIREMENT,Target creature has 9 or less remaining HP,Equip Requirement,VALIDATE_SUMMON_REQUIREMENT,validateSummonRequirement,Target creature,Remaining HP must be 9 or less,Before equip,FALSE,"This is an equip restriction, not a summon restriction.",Can only be equipped to a creature with 9 or less remaining HP. Heal 30 HP. 2x Hit Roll results for this creature. 2x Atk Damage for this creature.
009,Bio-Regeneration,009-E02,2,ON_EQUIP,Equipped to creature,Healing,HEAL_CREATURE,healFlat,Equipped creature,Heal 30 HP,Instant,FALSE,Healing cannot exceed base HP.,Can only be equipped to a creature with 9 or less remaining HP. Heal 30 HP. 2x Hit Roll results for this creature. 2x Atk Damage for this creature.
009,Bio-Regeneration,009-E03,3,WHILE_EQUIPPED,Equipped to creature,Roll Result Multiplier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,2x Hit Roll results,While equipped,FALSE,Multiply the final Hit Roll result by 2 after dice and modifiers unless engine decides otherwise.,Can only be equipped to a creature with 9 or less remaining HP. Heal 30 HP. 2x Hit Roll results for this creature. 2x Atk Damage for this creature.
009,Bio-Regeneration,009-E04,4,WHILE_EQUIPPED,Equipped creature inflicts Atk damage,Damage Multiplier,APPLY_ATTACK_DAMAGE_MULTIPLIER,applyConditionalDamageMultiplier,Equipped creature attack,2x Atk damage,While equipped,FALSE,,Can only be equipped to a creature with 9 or less remaining HP. Heal 30 HP. 2x Hit Roll results for this creature. 2x Atk Damage for this creature.
011,Raccoon Knight,011-E01,1,SUMMON_REQUIREMENT,This creature would be summoned,Summon Requirement,APPLY_SUMMON_REQUIREMENT_OVERRIDE,applySummonRequirementOverride,This creature,No sacrifice required,Before summon,FALSE,Raccoon Knight ignores normal AL sacrifice requirement.,This creature does not require a sacrifice to summon.
012,Bull Power,012-E01,1,WHILE_EQUIPPED,Equipped to creature,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,ATK_BONUS ADD 2; HIT_BONUS ADD 2; SPD ADD 2; AL ADD 2,While equipped,FALSE,Basic stat/dice modifier.,Atk: +2. Hit: +2. SPD: +2. AL: +2.
013,Bunnysaurus,013-E01,1,ON_ATTACK_TARGETS_THIS_CARD,This card is on the field and has not used its once-per-field effect,Once Per Field Negation,ADD_ONCE_PER_FIELD_SHIELD,addOncePerFieldShield,This card,Negate 1 attack against this card,Until used,FALSE,Shares the same once-per-field use counter with the magic negation option.,"While on the field, negate an attack against this card, or negate a magic card when it is played. This effect can only be used once while this card is on the field."
013,Bunnysaurus,013-E02,2,ON_MAGIC_CARD_PLAYED,This card is on the field and has not used its once-per-field effect,Once Per Field Negation,ADD_ONCE_PER_FIELD_SHIELD,addOncePerFieldShield,Magic card being played,Negate 1 magic card when played,Until used,FALSE,Shares the same once-per-field use counter with the attack negation option.,"While on the field, negate an attack against this card, or negate a magic card when it is played. This effect can only be used once while this card is on the field."
014,Double Hit,014-E01,1,WHILE_EQUIPPED,Equipped creature is able to battle,Battle Permission,APPLY_BATTLE_REQUIREMENT,applyBattleRequirement,Equipped creature,May initiate battle twice during controller's turn,While equipped,FALSE,Opponent may only return attack during one of the two battles.,Equipped creature can initiate battle twice during their turn. Your opponent can only return attack for 1 of these battles.
014,Double Hit,014-E02,2,WHILE_EQUIPPED,Equipped creature initiated two battles using Double Hit,Return Attack Restriction,APPLY_BATTLE_REQUIREMENT,applyBattleRequirement,Opponent creature,Can return attack for only 1 of those battles,While equipped,FALSE,Track whether opponent returned attack for one Double Hit battle.,Equipped creature can initiate battle twice during their turn. Your opponent can only return attack for 1 of these battles.
015,Bear Wolf,015-E01,1,DURING_BATTLE_PRIORITY,Battle involving this creature,Attack Priority,APPLY_ATTACK_PRIORITY_OVERRIDE,applyAttackPriorityOverride,This creature,Always attacks first,While on field,FALSE,Overrides SPD comparison unless another card effect explicitly changes priority.,This creature always attacks first during battle.
016,Natural Selection,016-E01,1,WHILE_FIELD_ACTIVE,Creature has no card effect and AL <= 5,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Non-effect creatures with base/current AL 5 or less,ATK_BONUS ADD 7; HIT_BONUS ADD 7,While field effect is active,FALSE,Field aura only applies to non-effect creatures of AL 5 or less.,Only affects non-effect creatures of AL 5 or less. Atk: +7. Hit: +7.
018,Life Sap,018-E01,1,ON_OPPONENT_DRAW_CARD,Opponent draws a card,Triggered Damage,DEAL_DAMAGE_ON_DRAW,dealDamageOnDraw,Equipped creature,5 damage,While equipped,FALSE,,"Equip this card to your opponent's creature. Whenever your opponent draws a card, inflict 5 damage to the equipped creature and heal your creature 5 HP."
018,Life Sap,018-E02,2,ON_OPPONENT_DRAW_CARD,Opponent draws a card,Healing,HEAL_CREATURE,healFlat,Your creature,Heal 5 HP,While equipped,FALSE,Healing cannot exceed base HP.,"Equip this card to your opponent's creature. Whenever your opponent draws a card, inflict 5 damage to the equipped creature and heal your creature 5 HP."
020,Great White,020-E01,1,SUMMON_REQUIREMENT,Sharkling is on the field,Summon Requirement,VALIDATE_SUMMON_REQUIREMENT,validateSummonRequirement,This card,Place Sharkling under this card on the field,Before summon,FALSE,Sharkling is moved under Great White as an attached material.,"This creature can only be summoned by placing ""Sharkling"" under this card on the field. If this card is removed from the field, changes control, or is killed, ""Sharkling"" follows it."
020,Great White,020-E02,2,ON_SUMMON,Summon requirement paid,Attachment/Linked Cards,ATTACH_CARDS_UNDER_SOURCE,attachCardsUnderSource,Sharkling,Attach under this card,While source remains linked,FALSE,"Attached Sharkling follows this card if removed, changed control, or killed.","This creature can only be summoned by placing ""Sharkling"" under this card on the field. If this card is removed from the field, changes control, or is killed, ""Sharkling"" follows it."
020,Great White,020-E03,3,ON_SOURCE_INVALIDATED,"This card is removed from field, changes control, or is killed",Zone Movement,RETURN_LINKED_CARDS,returnLinkedCards,Attached Sharkling,Follow this card,Instant,FALSE,Exact destination follows the source movement event.,"This creature can only be summoned by placing ""Sharkling"" under this card on the field. If this card is removed from the field, changes control, or is killed, ""Sharkling"" follows it."
021,Perfect Shark,021-E01,1,SUMMON_REQUIREMENT,Sharkling and Great White are on the field,Summon Requirement,VALIDATE_SUMMON_REQUIREMENT,validateSummonRequirement,This card,Place Sharkling and Great White under this card on the field,Before summon,FALSE,Both materials are moved under Perfect Shark as attached materials.,"Can only be summoned by placing ""Sharkling"" and ""Great White"" on the field under this card. If this card leaves the field, changes control, or is killed, ""Sharkling"" and ""Great White"" follow it."
