card_number,card_name,card_kind,rarity,has_effect_text,effect_count,action_types,reusable_functions,needs_manual_review,notes
001,All In One,MAGIC,Legendary,TRUE,1,APPLY_DYNAMIC_STAT_MODIFIER,applyDynamicStatModifier,FALSE,
002,Celestial Power,MAGIC,Legendary,TRUE,2,APPLY_STAT_MODIFIER; SET_CAN_BE_NEGATED,applyStatModifier; setCanBeNegated,FALSE,
003,Beaver,CREATURE,Common,FALSE,0,,,FALSE,No effect text shown on card.
004,Undead King,CREATURE,Mythic,TRUE,2,RETURN_LINKED_SUMMON; SUMMON_LIMITED_CREATURE,returnLinkedSummon; summonLimitedFromZone,FALSE,
005,Creator's Gift,MAGIC,Legendary,TRUE,2,APPLY_STAT_MODIFIER; SET_CAN_BE_NEGATED,applyStatModifier; setCanBeNegated,FALSE,
006,Electroloon,CREATURE,Rare,TRUE,2,APPLY_STATUS_AURA; APPLY_STATUS_WITH_ESCAPE_ROLL,applyStatusAura; applyStatusWithEscapeRoll,FALSE,
007,Absolute Terror,MAGIC,Legendary,TRUE,1,DEAL_DAMAGE_ON_DRAW,dealDamageOnDraw,FALSE,
008,Raccoon,CREATURE,Common,FALSE,0,,,FALSE,No effect text shown on card.
009,Bio-Regeneration,MAGIC,Epic,TRUE,4,APPLY_ATTACK_DAMAGE_MULTIPLIER; APPLY_STAT_MODIFIER; HEAL_CREATURE; VALIDATE_SUMMON_REQUIREMENT,applyConditionalDamageMultiplier; applyStatModifier; healFlat; validateSummonRequirement,FALSE,
010,Man Owl,CREATURE,Epic,FALSE,0,,,FALSE,No effect text shown on card.
011,Raccoon Knight,CREATURE,Legendary,TRUE,1,APPLY_SUMMON_REQUIREMENT_OVERRIDE,applySummonRequirementOverride,FALSE,Summon Requirement.
012,Bull Power,MAGIC,Uncommon,TRUE,1,APPLY_STAT_MODIFIER,applyStatModifier,FALSE,
013,Bunnysaurus,CREATURE,Uncommon,TRUE,2,ADD_ONCE_PER_FIELD_SHIELD,addOncePerFieldShield,FALSE,
014,Double Hit,MAGIC,Common,TRUE,2,APPLY_BATTLE_REQUIREMENT,applyBattleRequirement,FALSE,
015,Bear Wolf,CREATURE,Rare,TRUE,1,APPLY_ATTACK_PRIORITY_OVERRIDE,applyAttackPriorityOverride,FALSE,
016,Natural Selection,MAGIC,Common,TRUE,1,APPLY_STAT_MODIFIER,applyStatModifier,FALSE,Field card.
017,Squirrel,CREATURE,Common,FALSE,0,,,FALSE,No effect text shown on card.
018,Life Sap,MAGIC,Epic,TRUE,2,DEAL_DAMAGE_ON_DRAW; HEAL_CREATURE,dealDamageOnDraw; healFlat,FALSE,
019,Sharkling,CREATURE,Common,FALSE,0,,,FALSE,No effect text shown on card.
020,Great White,CREATURE,Epic,TRUE,3,ATTACH_CARDS_UNDER_SOURCE; RETURN_LINKED_CARDS; VALIDATE_SUMMON_REQUIREMENT,attachCardsUnderSource; returnLinkedCards; validateSummonRequirement,FALSE,Summon Requirement.
021,Perfect Shark,CREATURE,Legendary,TRUE,3,ATTACH_CARDS_UNDER_SOURCE; RETURN_LINKED_CARDS; VALIDATE_SUMMON_REQUIREMENT,attachCardsUnderSource; returnLinkedCards; validateSummonRequirement,FALSE,Summon Requirement.
022,Elven Scout,MAGIC,Uncommon,TRUE,1,APPLY_STAT_MODIFIER,applyStatModifier,FALSE,
023,Common Armor,MAGIC,Common,TRUE,1,APPLY_STAT_MODIFIER,applyStatModifier,FALSE,
024,Common Sword,MAGIC,Common,TRUE,1,APPLY_STAT_MODIFIER,applyStatModifier,FALSE,
025,Common Boots,MAGIC,Common,TRUE,1,APPLY_STAT_MODIFIER,applyStatModifier,FALSE,
026,Common Gloves,MAGIC,Common,TRUE,1,APPLY_STAT_MODIFIER,applyStatModifier,FALSE,
027,Common Helm,MAGIC,Common,TRUE,1,APPLY_STAT_MODIFIER,applyStatModifier,FALSE,
028,Legendary Armor,MAGIC,Legendary,TRUE,1,APPLY_STAT_MODIFIER,applyStatModifier,FALSE,
029,Legendary Gloves,MAGIC,Legendary,TRUE,1,APPLY_STAT_MODIFIER,applyStatModifier,FALSE,
030,Legendary Helm,MAGIC,Legendary,TRUE,1,APPLY_STAT_MODIFIER,applyStatModifier,FALSE,
031,Bug Man,CREATURE,Uncommon,FALSE,0,,,FALSE,No effect text shown on card.
032,Baby Dino,CREATURE,Common,FALSE,0,,,FALSE,No effect text shown on card.
033,Trike,CREATURE,Common,FALSE,0,,,FALSE,No effect text shown on card.
034,Bronto,CREATURE,Epic,FALSE,0,,,FALSE,No effect text shown on card.
