effect_id,card_number,card_name,card_kind,rarity,creature_type,magic_type,magic_subtype,is_equip,trigger,condition_type,condition_values_json,action_order,effect_group,engine_action_type,reusable_function,target,value_text,stat_changes_json,structured_params_json,damage_type,duration_type,duration_amount,duration_unit,duration_text,stack_rule,tick_timing,requires_response_window,source_linked,uses_anchoring,needs_manual_review,implementation_notes,original_effect_text,engine_effect_json
001-E01,001,All In One,MAGIC,Legendary,,INFINITE,EQUIP,TRUE,WHILE_EQUIPPED,TEXT,"{""type"": ""TEXT"", ""text"": ""Equipped creature exists and opponent has a primary creature""}",1,Dynamic Stat Modifier,APPLY_DYNAMIC_STAT_MODIFIER,applyDynamicStatModifier,Equipped creature,Add opponent primary base Atk Dice Rolls and base Modifier,"[{""stat"": ""ATK_DICE_ROLLS"", ""operation"": ""ADD_DYNAMIC"", ""source"": ""OPPONENT_PRIMARY_CREATURE.BASE_ATK_DICE_ROLLS""}, {""stat"": ""MODIFIER"", ""operation"": ""ADD_DYNAMIC"", ""source"": ""OPPONENT_PRIMARY_CREATURE.BASE_MODIFIER""}]","{""target"": ""Equipped creature"", ""valueText"": ""Add opponent primary base Atk Dice Rolls and base Modifier"", ""statChanges"": [{""stat"": ""ATK_DICE_ROLLS"", ""operation"": ""ADD_DYNAMIC"", ""source"": ""OPPONENT_PRIMARY_CREATURE.BASE_ATK_DICE_ROLLS""}, {""stat"": ""MODIFIER"", ""operation"": ""ADD_DYNAMIC"", ""source"": ""OPPONENT_PRIMARY_CREATURE.BASE_MODIFIER""}], ""condition"": {""type"": ""TEXT"", ""text"": ""Equipped creature exists and opponent has a primary creature""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": ""DO_NOT_STACK"", ""tickTiming"": null}",,WHILE_EQUIPPED,,,While equipped,DO_NOT_STACK,,FALSE,FALSE,TRUE,FALSE,Do not stack multiple copies of this effect. Track source card so recalculation follows opponent primary creature changes.,Add your opponent's primary creature's base Atk Dice Rolls and Modifier to the equipped creature. This effect cannot stack.,"{""id"": ""001-E01"", ""trigger"": ""WHILE_EQUIPPED"", ""condition"": {""type"": ""TEXT"", ""text"": ""Equipped creature exists and opponent has a primary creature""}, ""actionType"": ""APPLY_DYNAMIC_STAT_MODIFIER"", ""effectGroup"": ""Dynamic Stat Modifier"", ""actionText"": ""Copy opponent primary base Atk Dice Rolls and base Modifier as bonuses"", ""target"": ""Equipped creature"", ""value"": ""Add opponent primary base Atk Dice Rolls and base Modifier"", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""applyDynamicStatModifier"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""Add opponent primary base Atk Dice Rolls and base Modifier"", ""statChanges"": [{""stat"": ""ATK_DICE_ROLLS"", ""operation"": ""ADD_DYNAMIC"", ""source"": ""OPPONENT_PRIMARY_CREATURE.BASE_ATK_DICE_ROLLS""}, {""stat"": ""MODIFIER"", ""operation"": ""ADD_DYNAMIC"", ""source"": ""OPPONENT_PRIMARY_CREATURE.BASE_MODIFIER""}], ""condition"": {""type"": ""TEXT"", ""text"": ""Equipped creature exists and opponent has a primary creature""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": ""DO_NOT_STACK"", ""tickTiming"": null}, ""notes"": ""Do not stack multiple copies of this effect. Track source card so recalculation follows opponent primary creature changes."", ""needsReview"": false}"
002-E01,002,Celestial Power,MAGIC,Legendary,,INFINITE,EQUIP,TRUE,ON_PLAY,TEXT,"{""type"": ""TEXT"", ""text"": ""This card is played when played""}",1,Negation Rule,SET_CAN_BE_NEGATED,setCanBeNegated,This card,Cannot be negated,[],"{""target"": ""This card"", ""valueText"": ""Cannot be negated"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""This card is played when played""}, ""duration"": {""text"": ""While resolving"", ""type"": ""WHILE_RESOLVING""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""canBeNegated"": false}",,WHILE_RESOLVING,,,While resolving,,,FALSE,FALSE,FALSE,FALSE,Set response flags so this card cannot be negated during its response window.,This card cannot be negated when played. Atk: +8. Hit: +8. SPD: +8.,"{""id"": ""002-E01"", ""trigger"": ""ON_PLAY"", ""condition"": {""type"": ""TEXT"", ""text"": ""This card is played when played""}, ""actionType"": ""SET_CAN_BE_NEGATED"", ""effectGroup"": ""Negation Rule"", ""actionText"": ""Card cannot be negated"", ""target"": ""This card"", ""value"": ""Cannot be negated"", ""duration"": {""text"": ""While resolving"", ""type"": ""WHILE_RESOLVING""}, ""reusableFunction"": ""setCanBeNegated"", ""params"": {""target"": ""This card"", ""valueText"": ""Cannot be negated"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""This card is played when played""}, ""duration"": {""text"": ""While resolving"", ""type"": ""WHILE_RESOLVING""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""canBeNegated"": false}, ""notes"": ""Set response flags so this card cannot be negated during its response window."", ""needsReview"": false}"
002-E02,002,Celestial Power,MAGIC,Legendary,,INFINITE,EQUIP,TRUE,WHILE_EQUIPPED,EQUIPPED_TO_CREATURE,"{""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}",2,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,ATK_BONUS ADD 8; HIT_BONUS ADD 8; SPD ADD 8,"[{""stat"": ""ATK_BONUS"", ""operation"": ""ADD"", ""value"": 8}, {""stat"": ""HIT_BONUS"", ""operation"": ""ADD"", ""value"": 8}, {""stat"": ""SPD"", ""operation"": ""ADD"", ""value"": 8}]","{""target"": ""Equipped creature"", ""valueText"": ""ATK_BONUS ADD 8; HIT_BONUS ADD 8; SPD ADD 8"", ""statChanges"": [{""stat"": ""ATK_BONUS"", ""operation"": ""ADD"", ""value"": 8}, {""stat"": ""HIT_BONUS"", ""operation"": ""ADD"", ""value"": 8}, {""stat"": ""SPD"", ""operation"": ""ADD"", ""value"": 8}], ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}",,WHILE_EQUIPPED,,,While equipped,,,FALSE,FALSE,TRUE,FALSE,Basic stat/dice modifier.,This card cannot be negated when played. Atk: +8. Hit: +8. SPD: +8.,"{""id"": ""002-E02"", ""trigger"": ""WHILE_EQUIPPED"", ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""actionType"": ""APPLY_STAT_MODIFIER"", ""effectGroup"": ""Stat Modifier"", ""actionText"": ""Apply stat modifiers"", ""target"": ""Equipped creature"", ""value"": ""ATK_BONUS ADD 8; HIT_BONUS ADD 8; SPD ADD 8"", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""applyStatModifier"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""ATK_BONUS ADD 8; HIT_BONUS ADD 8; SPD ADD 8"", ""statChanges"": [{""stat"": ""ATK_BONUS"", ""operation"": ""ADD"", ""value"": 8}, {""stat"": ""HIT_BONUS"", ""operation"": ""ADD"", ""value"": 8}, {""stat"": ""SPD"", ""operation"": ""ADD"", ""value"": 8}], ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Basic stat/dice modifier."", ""needsReview"": false}"
004-E01,004,Undead King,CREATURE,Mythic,Undead,,,FALSE,DURING_YOUR_TURN_ACTIVATED,ROLL_DIE_RANGE,"{""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [3, 4, 5, 6], ""text"": ""Roll 1 die; success 3-6""}",1,Limited Summon,SUMMON_LIMITED_CREATURE,summonLimitedFromZone,Creature from your cemetery,Limited Summon 1 creature from cemetery,[],"{""target"": ""Creature from your cemetery"", ""valueText"": ""Limited Summon 1 creature from cemetery"", ""statChanges"": [], ""condition"": {""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [3, 4, 5, 6], ""text"": ""Roll 1 die; success 3-6""}, ""duration"": {""text"": ""While source effect remains active"", ""type"": ""WHILE_ON_FIELD""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""fromZone"": ""YOUR_CEMETERY"", ""maxCount"": 1, ""summonType"": ""LIMITED_SUMMON""}",,WHILE_ON_FIELD,,,While source effect remains active,,,FALSE,TRUE,TRUE,FALSE,"Limited summon returns to cemetery if Undead King leaves field, switches control, or this effect is negated. Limited summons still obey global limited-summon rules.","During your turn, roll 1 die. If the result is 3-6, you may summon a creature from your cemetery as a Limited Summon. Limited Summon(s) return to the cemetery if this card leaves the field, switches control, or this effect is negated.","{""id"": ""004-E01"", ""trigger"": ""DURING_YOUR_TURN_ACTIVATED"", ""condition"": {""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [3, 4, 5, 6], ""text"": ""Roll 1 die; success 3-6""}, ""actionType"": ""SUMMON_LIMITED_CREATURE"", ""effectGroup"": ""Limited Summon"", ""actionText"": ""Summon creature from cemetery as Limited Summon"", ""target"": ""Creature from your cemetery"", ""value"": ""Limited Summon 1 creature from cemetery"", ""duration"": {""text"": ""While source effect remains active"", ""type"": ""WHILE_ON_FIELD""}, ""reusableFunction"": ""summonLimitedFromZone"", ""params"": {""target"": ""Creature from your cemetery"", ""valueText"": ""Limited Summon 1 creature from cemetery"", ""statChanges"": [], ""condition"": {""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [3, 4, 5, 6], ""text"": ""Roll 1 die; success 3-6""}, ""duration"": {""text"": ""While source effect remains active"", ""type"": ""WHILE_ON_FIELD""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""fromZone"": ""YOUR_CEMETERY"", ""maxCount"": 1, ""summonType"": ""LIMITED_SUMMON""}, ""notes"": ""Limited summon returns to cemetery if Undead King leaves field, switches control, or this effect is negated. Limited summons still obey global limited-summon rules."", ""needsReview"": false}"
004-E02,004,Undead King,CREATURE,Mythic,Undead,,,FALSE,ON_SOURCE_INVALIDATED,SOURCE_INVALIDATED,"{""type"": ""SOURCE_INVALIDATED"", ""text"": ""This card leaves field, switches control, or this effect is negated""}",2,Zone Movement,RETURN_LINKED_SUMMON,returnLinkedSummon,Linked Limited Summon(s),Return to cemetery,[],"{""target"": ""Linked Limited Summon(s)"", ""valueText"": ""Return to cemetery"", ""statChanges"": [], ""condition"": {""type"": ""SOURCE_INVALIDATED"", ""text"": ""This card leaves field, switches control, or this effect is negated""}, ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""toZone"": ""YOUR_CEMETERY""}",,INSTANT,,,Instant,,,FALSE,TRUE,TRUE,FALSE,Source-linked cleanup for Undead King.,"During your turn, roll 1 die. If the result is 3-6, you may summon a creature from your cemetery as a Limited Summon. Limited Summon(s) return to the cemetery if this card leaves the field, switches control, or this effect is negated.","{""id"": ""004-E02"", ""trigger"": ""ON_SOURCE_INVALIDATED"", ""condition"": {""type"": ""SOURCE_INVALIDATED"", ""text"": ""This card leaves field, switches control, or this effect is negated""}, ""actionType"": ""RETURN_LINKED_SUMMON"", ""effectGroup"": ""Zone Movement"", ""actionText"": ""Return linked Limited Summon(s) to cemetery"", ""target"": ""Linked Limited Summon(s)"", ""value"": ""Return to cemetery"", ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""reusableFunction"": ""returnLinkedSummon"", ""params"": {""target"": ""Linked Limited Summon(s)"", ""valueText"": ""Return to cemetery"", ""statChanges"": [], ""condition"": {""type"": ""SOURCE_INVALIDATED"", ""text"": ""This card leaves field, switches control, or this effect is negated""}, ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""toZone"": ""YOUR_CEMETERY""}, ""notes"": ""Source-linked cleanup for Undead King."", ""needsReview"": false}"
005-E01,005,Creator's Gift,MAGIC,Legendary,,INFINITE,EQUIP,TRUE,ON_PLAY,TEXT,"{""type"": ""TEXT"", ""text"": ""This card is played when played""}",1,Negation Rule,SET_CAN_BE_NEGATED,setCanBeNegated,This card,Cannot be negated,[],"{""target"": ""This card"", ""valueText"": ""Cannot be negated"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""This card is played when played""}, ""duration"": {""text"": ""While resolving"", ""type"": ""WHILE_RESOLVING""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""canBeNegated"": false}",,WHILE_RESOLVING,,,While resolving,,,FALSE,FALSE,FALSE,FALSE,Set response flags so this card cannot be negated during its response window.,This card cannot be negated when played. Atk: +6. Hit: +6. Atk Dice Rolls: +2. Hit Dice Rolls: +2.,"{""id"": ""005-E01"", ""trigger"": ""ON_PLAY"", ""condition"": {""type"": ""TEXT"", ""text"": ""This card is played when played""}, ""actionType"": ""SET_CAN_BE_NEGATED"", ""effectGroup"": ""Negation Rule"", ""actionText"": ""Card cannot be negated"", ""target"": ""This card"", ""value"": ""Cannot be negated"", ""duration"": {""text"": ""While resolving"", ""type"": ""WHILE_RESOLVING""}, ""reusableFunction"": ""setCanBeNegated"", ""params"": {""target"": ""This card"", ""valueText"": ""Cannot be negated"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""This card is played when played""}, ""duration"": {""text"": ""While resolving"", ""type"": ""WHILE_RESOLVING""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""canBeNegated"": false}, ""notes"": ""Set response flags so this card cannot be negated during its response window."", ""needsReview"": false}"
005-E02,005,Creator's Gift,MAGIC,Legendary,,INFINITE,EQUIP,TRUE,WHILE_EQUIPPED,EQUIPPED_TO_CREATURE,"{""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}",2,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,ATK_BONUS ADD 6; HIT_BONUS ADD 6; ATK_DICE_ROLLS ADD 2; HIT_DICE_ROLLS ADD 2,"[{""stat"": ""ATK_BONUS"", ""operation"": ""ADD"", ""value"": 6}, {""stat"": ""HIT_BONUS"", ""operation"": ""ADD"", ""value"": 6}, {""stat"": ""ATK_DICE_ROLLS"", ""operation"": ""ADD"", ""value"": 2}, {""stat"": ""HIT_DICE_ROLLS"", ""operation"": ""ADD"", ""value"": 2}]","{""target"": ""Equipped creature"", ""valueText"": ""ATK_BONUS ADD 6; HIT_BONUS ADD 6; ATK_DICE_ROLLS ADD 2; HIT_DICE_ROLLS ADD 2"", ""statChanges"": [{""stat"": ""ATK_BONUS"", ""operation"": ""ADD"", ""value"": 6}, {""stat"": ""HIT_BONUS"", ""operation"": ""ADD"", ""value"": 6}, {""stat"": ""ATK_DICE_ROLLS"", ""operation"": ""ADD"", ""value"": 2}, {""stat"": ""HIT_DICE_ROLLS"", ""operation"": ""ADD"", ""value"": 2}], ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}",,WHILE_EQUIPPED,,,While equipped,,,FALSE,FALSE,TRUE,FALSE,Basic stat/dice modifier.,This card cannot be negated when played. Atk: +6. Hit: +6. Atk Dice Rolls: +2. Hit Dice Rolls: +2.,"{""id"": ""005-E02"", ""trigger"": ""WHILE_EQUIPPED"", ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""actionType"": ""APPLY_STAT_MODIFIER"", ""effectGroup"": ""Stat Modifier"", ""actionText"": ""Apply stat modifiers"", ""target"": ""Equipped creature"", ""value"": ""ATK_BONUS ADD 6; HIT_BONUS ADD 6; ATK_DICE_ROLLS ADD 2; HIT_DICE_ROLLS ADD 2"", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""applyStatModifier"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""ATK_BONUS ADD 6; HIT_BONUS ADD 6; ATK_DICE_ROLLS ADD 2; HIT_DICE_ROLLS ADD 2"", ""statChanges"": [{""stat"": ""ATK_BONUS"", ""operation"": ""ADD"", ""value"": 6}, {""stat"": ""HIT_BONUS"", ""operation"": ""ADD"", ""value"": 6}, {""stat"": ""ATK_DICE_ROLLS"", ""operation"": ""ADD"", ""value"": 2}, {""stat"": ""HIT_DICE_ROLLS"", ""operation"": ""ADD"", ""value"": 2}], ""condition"": {""type"": ""EQUIPPED_TO_CREATURE"", ""text"": ""Equipped to creature""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Basic stat/dice modifier."", ""needsReview"": false}"
006-E01,006,Electroloon,CREATURE,Rare,Beast,,,FALSE,WHILE_ON_FIELD,TEXT,"{""type"": ""TEXT"", ""text"": ""Opposing side of field""}",1,Status Aura,APPLY_STATUS_AURA,applyStatusAura,All opposing creatures,Stunned; cannot inflict Atk damage,[],"{""target"": ""All opposing creatures"", ""valueText"": ""Stunned; cannot inflict Atk damage"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Opposing side of field""}, ""duration"": {""text"": ""Until escape roll succeeds or source leaves field"", ""type"": ""TEXT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""status"": ""STUNNED"", ""canInflictAtkDamage"": false}",,TEXT,,,Until escape roll succeeds or source leaves field,,,FALSE,TRUE,FALSE,FALSE,Affected creatures can attempt an escape roll at the beginning of their controller's turn.,"All creatures on the opposing side of the field are stunned and cannot inflict Atk damage. At the beginning of their turn, they may roll 1 die. If the result is 1-2, this effect ends.","{""id"": ""006-E01"", ""trigger"": ""WHILE_ON_FIELD"", ""condition"": {""type"": ""TEXT"", ""text"": ""Opposing side of field""}, ""actionType"": ""APPLY_STATUS_AURA"", ""effectGroup"": ""Status Aura"", ""actionText"": ""Apply stunned status to opposing creatures"", ""target"": ""All opposing creatures"", ""value"": ""Stunned; cannot inflict Atk damage"", ""duration"": {""text"": ""Until escape roll succeeds or source leaves field"", ""type"": ""TEXT""}, ""reusableFunction"": ""applyStatusAura"", ""params"": {""target"": ""All opposing creatures"", ""valueText"": ""Stunned; cannot inflict Atk damage"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Opposing side of field""}, ""duration"": {""text"": ""Until escape roll succeeds or source leaves field"", ""type"": ""TEXT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""status"": ""STUNNED"", ""canInflictAtkDamage"": false}, ""notes"": ""Affected creatures can attempt an escape roll at the beginning of their controller's turn."", ""needsReview"": false}"
006-E02,006,Electroloon,CREATURE,Rare,Beast,,,FALSE,AT_BEGINNING_OF_AFFECTED_PLAYER_TURN,ROLL_DIE_RANGE,"{""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [1, 2], ""text"": ""Roll 1 die; success 1-2""}",2,Status Escape Roll,APPLY_STATUS_WITH_ESCAPE_ROLL,applyStatusWithEscapeRoll,Affected opposing creatures,End Electroloon stun on 1-2,[],"{""target"": ""Affected opposing creatures"", ""valueText"": ""End Electroloon stun on 1-2"", ""statChanges"": [], ""condition"": {""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [1, 2], ""text"": ""Roll 1 die; success 1-2""}, ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""dieSize"": 6, ""successValues"": [1, 2]}",,INSTANT,,,Instant,,,FALSE,TRUE,FALSE,FALSE,"If escape succeeds, remove this effect from affected creatures.","All creatures on the opposing side of the field are stunned and cannot inflict Atk damage. At the beginning of their turn, they may roll 1 die. If the result is 1-2, this effect ends.","{""id"": ""006-E02"", ""trigger"": ""AT_BEGINNING_OF_AFFECTED_PLAYER_TURN"", ""condition"": {""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [1, 2], ""text"": ""Roll 1 die; success 1-2""}, ""actionType"": ""APPLY_STATUS_WITH_ESCAPE_ROLL"", ""effectGroup"": ""Status Escape Roll"", ""actionText"": ""Resolve escape roll and end status"", ""target"": ""Affected opposing creatures"", ""value"": ""End Electroloon stun on 1-2"", ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""reusableFunction"": ""applyStatusWithEscapeRoll"", ""params"": {""target"": ""Affected opposing creatures"", ""valueText"": ""End Electroloon stun on 1-2"", ""statChanges"": [], ""condition"": {""type"": ""ROLL_DIE_RANGE"", ""dieSize"": 6, ""successValues"": [1, 2], ""text"": ""Roll 1 die; success 1-2""}, ""duration"": {""text"": ""Instant"", ""type"": ""INSTANT""}, ""damageType"": """", ""sourceLinked"": true, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""dieSize"": 6, ""successValues"": [1, 2]}, ""notes"": ""If escape succeeds, remove this effect from affected creatures."", ""needsReview"": false}"
007-E01,007,Absolute Terror,MAGIC,Legendary,,INFINITE,EQUIP,TRUE,ON_OPPONENT_DRAW_CARD,TEXT,"{""type"": ""TEXT"", ""text"": ""Opponent draws a card""}",1,Triggered Damage,DEAL_DAMAGE_ON_DRAW,dealDamageOnDraw,Opponent primary creature,10 damage,[],"{""target"": ""Opponent primary creature"", ""valueText"": ""10 damage"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Opponent draws a card""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": ""EFFECT_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""amount"": 10}",EFFECT_DAMAGE,WHILE_EQUIPPED,,,While equipped,,,FALSE,FALSE,TRUE,FALSE,"Card is equipped to opponent's creature, but damage is dealt to opponent's current primary creature.","Equip to opponent's creature. Every time your opponent draws a card, inflict 10 damage to their primary creature.","{""id"": ""007-E01"", ""trigger"": ""ON_OPPONENT_DRAW_CARD"", ""condition"": {""type"": ""TEXT"", ""text"": ""Opponent draws a card""}, ""actionType"": ""DEAL_DAMAGE_ON_DRAW"", ""effectGroup"": ""Triggered Damage"", ""actionText"": ""Deal damage to opponent primary creature"", ""target"": ""Opponent primary creature"", ""value"": ""10 damage"", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""dealDamageOnDraw"", ""params"": {""target"": ""Opponent primary creature"", ""valueText"": ""10 damage"", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Opponent draws a card""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": ""EFFECT_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null, ""amount"": 10}, ""notes"": ""Card is equipped to opponent's creature, but damage is dealt to opponent's current primary creature."", ""needsReview"": false}"
