Card Number,Card Name,Generation,Edition,Card Kind,Rarity,Creature Type,Magic Type,Magic Subtype,Is Equip,Is Field,AL,HP,SPD,Attack Name,Attack Dice,Modifier,Raw Effect Text,Flavor Text,Image Source,Notes,Needs Review,Is Bonus Card
001,Dark Angel,3,1st Edition,CREATURE,Epic,Cosmic,,,FALSE,FALSE,7,70,7,Dark Wing,4,2,"While this card is on the field, your opponents’ creatures’ AL and SPD are reduced to 1, and cannot be increased.",,user-uploaded image,,TRUE,FALSE
002,Fire Eleotoid,3,1st Edition,CREATURE,Common,Elemental,,,FALSE,FALSE,4,20,7,Burning Grasp,1,0,"While this card is on the field, the magic card ""Forest Fire"" cannot be destroyed by its own effect.",,user-uploaded image,Specific named-card interaction with Forest Fire requires exact card reference and self-destruction prevention routing.,TRUE,FALSE
003,Enlightened Soul,3,1st Edition,CREATURE,Legendary,Cosmic,,,FALSE,FALSE,1,20,1,Upon High,1,1,"While this card is in your cemetery, reduce your cemetery by 40 HP.",,user-uploaded image,Cemetery HP reduction is an exception to normal inactive cemetery effects.,TRUE,FALSE
004,Repair Bear,3,1st Edition,MAGIC,Common,,Standard,None,FALSE,FALSE,,,,,,,Heal a creature on the field 15 HP.,,user-uploaded image,,FALSE,FALSE
005,Comodo,3,1st Edition,CREATURE,Common,Dragon,,,FALSE,FALSE,4,50,6,Flame Spin,2,2,,,user-uploaded image,,FALSE,FALSE
006,Ball Demon,3,1st Edition,MAGIC,Uncommon,,Infinite,Equip,TRUE,FALSE,,,,,,,Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.,,user-uploaded image,End-turn recurring damage from an Infinite Equip requires turn trigger while equipped.,TRUE,FALSE
007,Steam Knight Blaster,3,1st Edition,MAGIC,Uncommon,,Infinite,Equip,TRUE,FALSE,,,,,,,"The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.",,user-uploaded image,Replaces base attack profile and suppresses equipped creature effect.,TRUE,FALSE
008,Cybernetic Upgrade,3,1st Edition,MAGIC,Legendary,,Lightning,Equip,TRUE,FALSE,,,,,,,During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.,,user-uploaded image,Lightning Equip with battle timing and automatic end-of-battle cleanup.,TRUE,FALSE
009,Hoggan,3,1st Edition,CREATURE,Rare,Beast,,,FALSE,FALSE,1,20,2,Dark Wave,4,5,"At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle.",,user-uploaded image,Limited Summon can receive damage and redirects battle from primary creature.,TRUE,FALSE
010,Fazard,3,1st Edition,CREATURE,Epic,Cosmic,,,FALSE,FALSE,12,100,10,Demi Claw,4,5,"While this card is on the field, Standard magic cards cannot be played.",,user-uploaded image,,TRUE,FALSE
011,Mr. Evil,3,1st Edition,MAGIC,Common,,Infinite,Equip,TRUE,FALSE,,,,,,,AL: +3. Hit: +3.,,user-uploaded image,,FALSE,FALSE
012,Crow,3,1st Edition,CREATURE,Common,Beast,,,FALSE,FALSE,1,10,11,Corvus Caw,1,1,"Summon Requirement: You may summon this creature normally, or Limited Summon it if your primary creature has ""Crow"" in its name. If your primary creature leaves the field or changes control, return this card to your hand.",,user-uploaded image,Conditional Limited Summon and cleanup tied to primary creature state.,TRUE,FALSE
013,Steam Powered Girl,3,1st Edition,MAGIC,Epic,,Standard,Equip,TRUE,FALSE,,,,,,,"For 1 turn cycle, for every card in your hand, add Hit Dice Rolls +1 and Atk Dice Rolls +1.",,user-uploaded image,,TRUE,FALSE
014,Monster Armor,3,1st Edition,MAGIC,Rare,,Infinite,Equip,TRUE,FALSE,,,,,,,Atk: +3. Hit: +3. AL: +3. SPD: +3. Atk Dice Rolls: +1.,,user-uploaded image,,FALSE,FALSE
015,The Good Boy,3,1st Edition,MAGIC,Common,,Infinite,Field,FALSE,TRUE,,,,,,,This card only affects your primary creature. Atk: +1. Hit: +1. SPD: +1. AL: +1.,,user-uploaded image,,FALSE,FALSE
016,Exhaustion,3,1st Edition,MAGIC,Common,,Standard,Equip,TRUE,FALSE,,,,,,,Reduce the target creature’s Hit and Atk Modifier to 0 for 1 turn cycle.,,user-uploaded image,,TRUE,FALSE
017,Shield of Light,3,1st Edition,MAGIC,Epic,,Infinite,Equip,TRUE,FALSE,,,,,,,Roll 1 die prior to any damage the equipped creature receives. If the result is: 1-2: Heal for the damage instead. 3-4: Receive damage as normal. 5-6: Destroy this card.,,user-uploaded image,Damage replacement roll table before any damage.,TRUE,FALSE
018,Enchantment,3,1st Edition,MAGIC,Uncommon,,Lightning,None,FALSE,FALSE,,,,,,,"If you miss your Hit Roll, play this card from your hand. Inflict 10 damage to the missed creature.",,user-uploaded image,,TRUE,FALSE
019,Hell Authority,3,1st Edition,MAGIC,Uncommon,,Standard,None,FALSE,FALSE,,,,,,,Your opponent cannot play magic cards for 1 turn cycle.,,user-uploaded image,,FALSE,FALSE
020,Witch’s Cabin,3,1st Edition,MAGIC,Uncommon,,Lightning,None,FALSE,FALSE,,,,,,,Play this card from your hand when your opponent draws a card. Send the drawn card to the bottom of their deck.,,user-uploaded image,,TRUE,FALSE
021,Possessed Dummy,3,1st Edition,MAGIC,Epic,,Lightning,Equip,TRUE,FALSE,,,,,,,"Play this card when your opponent sends a creature to their cemetery. Summon that creature as your Limited Summon. If this card or your primary creature is removed from the field, or this effect is negated, return it to their cemetery.",,user-uploaded image,Opponent-cemetery Limited Summon with source-linked cleanup and opponent ownership.,TRUE,FALSE
022,Shapeshifter,3,1st Edition,CREATURE,Legendary,Humanoid,,,FALSE,FALSE,4,60,7,Morph,4,1,"Prior to battle, choose 1 of the forms below for this battle. Eagle: +5 SPD. Deer: +3 Modifier. Bear: +4 Atk Dice Rolls. Turtle: +6 AL.",,user-uploaded image,,TRUE,FALSE
023,Order Knight,3,1st Edition,CREATURE,Uncommon,Humanoid,,,FALSE,FALSE,8,80,8,Upward Slash,3,3,,,user-uploaded image,,FALSE,FALSE
024,Mosquito Man,3,1st Edition,CREATURE,Rare,Bug,,,FALSE,FALSE,5,40,6,Blood Sucker,2,3,This creature heals for 1/2 of the Atk damage it inflicts during battle.,,user-uploaded image,,TRUE,FALSE
025,Wererabbit,3,1st Edition,CREATURE,Uncommon,Beast,,,FALSE,FALSE,6,50,10,Vicious Bite,1,7,,,user-uploaded image,,FALSE,FALSE
026,Cabal Warchief,3,1st Edition,CREATURE,Mythic,Humanoid,,,FALSE,FALSE,12,130,12,Carnage,5,5,"This creature may initiate battle twice during your turn. Your opponent can only return attack for 1 of these battles. This creature cannot change control, or be removed from the field unless killed.",,user-uploaded image,Multiple battles and partial return-attack restriction need custom combat support.,TRUE,FALSE
027,Doppelganger,3,1st Edition,MAGIC,Epic,,Infinite,Equip,TRUE,FALSE,,,,,,,Atk Dice Rolls: +2. Hit Dice Rolls: +2.,,user-uploaded image,,FALSE,FALSE
028,Catcow,3,1st Edition,MAGIC,Rare,,Infinite,Field,FALSE,TRUE,,,,,,,"For 2 turn cycles, all creatures switch their own base Atk Dice Rolls and Modifier.",,user-uploaded image,Switches each creature own base attack dice and modifier for 2 turn cycles.,TRUE,FALSE
029,Earth Eleotoid,3,1st Edition,CREATURE,Rare,Elemental,,,FALSE,FALSE,7,60,4,Stone Slide,2,3,"This card inflicts 2x Atk damage to creatures in or near fire, but receives 2x Atk damage from creatures in or near water.",,user-uploaded image,Uses environment/art-context conditions: in or near fire/water.,TRUE,FALSE
030,Owlet,3,1st Edition,CREATURE,Common,Beast,,,FALSE,FALSE,2,10,3,Baby Peck,1,0,,,user-uploaded image,,FALSE,FALSE
031,Orcs VS Apes,3,1st Edition,MAGIC,Common,,Infinite,Field,FALSE,TRUE,,,,,,,All creatures inflict 2x Atk damage to Humanoid-type creatures on the field.,,user-uploaded image,,FALSE,FALSE
032,Evolved Ape,3,1st Edition,CREATURE,Epic,Beast,,,FALSE,FALSE,7,100,5,Pummel,4,3,,,user-uploaded image,,FALSE,FALSE
033,Armored Assault,3,1st Edition,MAGIC,Common,,Infinite,Equip,TRUE,FALSE,,,,,,,SPD: +4. AL: +2.,,user-uploaded image,,FALSE,FALSE
034,Kappa King,3,1st Edition,CREATURE,Epic,Dinosaur,,,FALSE,FALSE,11,100,1,Shell Bash,4,2,,,user-uploaded image,,FALSE,FALSE
035,Dark Moon,3,1st Edition,MAGIC,Common,,Standard,Field,FALSE,TRUE,,,,,,,For 1 turn cycle your opponents’ creatures can only roll 1 Hit Die.,,user-uploaded image,,TRUE,FALSE
036,Ptera Man,3,1st Edition,CREATURE,Uncommon,Dinosaur,,,FALSE,FALSE,7,60,11,Primal Dive,1,9,,,user-uploaded image,,FALSE,FALSE
037,Galactic Suit,3,1st Edition,MAGIC,Legendary,,Infinite,Equip,TRUE,FALSE,,,,,,,"If your opponent misses their Hit Roll against the equipped creature, they must roll their Atk Roll against their primary creature.",,user-uploaded image,Redirects missed attack roll to opponent primary creature.,TRUE,FALSE
038,Army of the Orcs,3,1st Edition,MAGIC,Common,,Infinite,Field,FALSE,TRUE,,,,,,,"All creatures with ""Orc"" in their name: SPD: +3. Atk: +6. Atk Dice Rolls: +1.",,user-uploaded image,,FALSE,FALSE
039,M.O.O.N. Sgt.,3,1st Edition,CREATURE,Epic,Humanoid,,,FALSE,FALSE,7,60,9,10-88,2,5,"When summoned, you may summon 1 ""M.O.O.N."" named creature from your hand or deck as a Limited Summon. Return the summoned creature to your hand if this card leaves the field, changes control, or this effect is negated.",,user-uploaded image,,TRUE,FALSE
040,M.O.O.N. Soldier,3,1st Edition,CREATURE,Common,Humanoid,,,FALSE,FALSE,6,40,6,10-23,1,4,,,user-uploaded image,,FALSE,FALSE
041,Orc Magic,3,1st Edition,MAGIC,Rare,,Standard,None,FALSE,FALSE,,,,,,,Destroy 1 magic card on the field.,,user-uploaded image,,FALSE,FALSE
042,Orc Mischief,3,1st Edition,MAGIC,Rare,,Lightning,None,FALSE,FALSE,,,,,,,Play this card from your hand when your opponent plays a magic card. Negate the card effect and instead send it to the cemetery.,,user-uploaded image,,FALSE,FALSE
043,The Villain,3,1st Edition,CREATURE,Epic,Cosmic,,,FALSE,FALSE,12,120,5,Ultimaga,5,4,"While this card is on the field, your opponent(s) must deal 10 damage to their primary creature to play a magic card. This creature receives 3x Atk damage from ""The Hero"" and ""The Heroine"" creatures.",,user-uploaded image,Opponent magic play cost plus named-card incoming damage multiplier.,TRUE,FALSE
044,Wood Axe,3,1st Edition,MAGIC,Common,,Infinite,Equip,TRUE,FALSE,,,,,,,Atk: +3.,,user-uploaded image,,FALSE,FALSE
045,Wooden Shield,3,1st Edition,MAGIC,Common,,Infinite,Equip,TRUE,FALSE,,,,,,,AL: +3.,,user-uploaded image,,FALSE,FALSE
046,Warrior Sword,3,1st Edition,MAGIC,Common,,Infinite,Equip,TRUE,FALSE,,,,,,,Atk: +2. Hit: +2.,,user-uploaded image,,FALSE,FALSE
047,Conqueror,3,1st Edition,CREATURE,Rare,Humanoid,,,FALSE,FALSE,12,110,6,Mighty Heave,4,3,,,user-uploaded image,,FALSE,FALSE
048,Owl God,3,1st Edition,CREATURE,Legendary,Cosmic,,,FALSE,FALSE,12,150,2,Owlagas,9,9,"Summon Requirement: This creature requires 3 sacrifices to summon. If one of the creatures sacrificed has ""Owl"" in its name, only 2 sacrifices are required.",,user-uploaded image,,TRUE,FALSE
049,Gremlin,3,1st Edition,CREATURE,Rare,Humanoid,,,FALSE,FALSE,1,10,6,Giggle,1,1,"If your primary creature is removed from the field, you may play this card as your primary creature. This card returns to being a magic card if it leaves the field.",,user-uploaded image,Hybrid magic/creature card visually uses a magic frame but has creature stats.; Hybrid magic/creature behavior; app may require hybrid cardKind support.,TRUE,FALSE
050,Adam Bomb,3,1st Edition,MAGIC,Rare,,Infinite,Equip,TRUE,FALSE,,,,,,,"When this card is played, destroy all other magic cards on the field. Atk: +3. Hit: +3. AL: +3. SPD: +3.",,user-uploaded image,,TRUE,FALSE
051,Deercrow,3,1st Edition,CREATURE,Legendary,Undead,,,FALSE,FALSE,12,120,6,Antler Slice,6,5,"Summon Requirement: If summoned by sacrificing ""Scarecrow"" or ""Big Buck"", send 1 of them back to your deck, then shuffle. This card receives 2x effects from Common / Uncommon magic cards for Hit, Atk, Atk Dice Rolls, and SPD.",,user-uploaded image,Custom summon handling and doubled rarity-based magic effects by stat category.,TRUE,FALSE
052,Bad Luck Bear,3,1st Edition,MAGIC,Common,,Infinite,Equip,TRUE,FALSE,,,,,,,Equip this card to 1 of your opponent’s creatures. You may choose for them to re-roll either their Hit Dice Roll or Atk Dice Roll once per battle.,,user-uploaded image,,TRUE,FALSE
053,The Super Hero,3,1st Edition,CREATURE,Legendary,Humanoid,,,FALSE,FALSE,12,120,12,Heroic Punch,6,4,"During your turn, roll 1 die. If the result is 5-6, this creature cannot be damaged this turn.",,user-uploaded image,,TRUE,FALSE
054,Vampire Mistress,3,1st Edition,MAGIC,Common,,Standard,None,FALSE,FALSE,,,,,,,Inflict 10 damage to a creature and heal a creature 10 HP.,,user-uploaded image,,FALSE,FALSE
055,Shield Maiden,3,1st Edition,CREATURE,Uncommon,Humanoid,,,FALSE,FALSE,6,50,8,Skol Bash,3,2,,,user-uploaded image,,FALSE,FALSE
056,Soul Eater,3,1st Edition,MAGIC,Legendary,,Standard,None,FALSE,FALSE,,,,,,,You may use a Limited Summon on the field as a sacrifice for summoning. Send the Limited Summon to the cemetery of the player that currently controls it.,,user-uploaded image,,TRUE,FALSE
057,Steam Angel,3,1st Edition,CREATURE,Epic,Mechanical,,,FALSE,FALSE,7,70,7,Steam Sword,4,4,"During your turn, roll 1 die. For 1 turn cycle, the following rarity cards cannot be played: 1-3 Epic/Promo. 4-6 Legendary/Mythic.",,user-uploaded image,Roll-table prevents cards by rarity from being played for 1 turn cycle.,TRUE,FALSE
