Generation,Edition,Card Number,Card Name,Card Type,Rarity,Creature Type,Magic Type,Is Equip,Armor Level,Speed,Health Points,Attack Name,Attack Dice,Modifier,Extended Effect Description,Flavor Text,Image File Name,Notes,Magic Type Normalized,Magic Subtype,Is Field,Effect Count,Effect Types,Needs Manual Review,Is Bonus Card,Card Definition JSON
3,1st Edition,001,Dark Angel,Creature,Epic,Cosmic,,FALSE,7,7,70,Dark Wing,4,2,"While this card is on the field, your opponents’ creatures’ AL and SPD are reduced to 1, and cannot be increased.",,,,,,FALSE,1,MANUAL_FALLBACK,TRUE,FALSE,"{""cardNumber"": ""001"", ""cardName"": ""Dark Angel"", ""generation"": ""3"", ""edition"": ""1st Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Epic"", ""creatureType"": ""Cosmic"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""isField"": false, ""baseStats"": {""AL"": 7, ""SPD"": 7, ""HP"": 70, ""attackName"": ""Dark Wing"", ""attackDice"": 4, ""modifier"": 2, ""baseHitDice"": 2}, ""rawEffectText"": ""While this card is on the field, your opponents’ creatures’ AL and SPD are reduced to 1, and cannot be increased."", ""effects"": [{""id"": ""001-E01"", ""trigger"": ""STATIC_WHILE_ON_FIELD"", ""condition"": {""type"": ""TEXT"", ""text"": ""While this card is on the field, your opponents’ creatures’ AL and SPD are reduced to 1, and cannot be increased.""}, ""actionType"": ""MANUAL_FALLBACK"", ""effectGroup"": ""Manual Fallback"", ""actionText"": ""Manual effect resolution needed"", ""target"": ""This creature"", ""value"": ""While this card is on the field, your opponents’ creatures’ AL and SPD are reduced to 1, and cannot be increased."", ""duration"": {""text"": ""While on field"", ""type"": ""WHILE_ON_FIELD""}, ""reusableFunction"": ""manualFallback"", ""params"": {""target"": ""This creature"", ""valueText"": ""While this card is on the field, your opponents’ creatures’ AL and SPD are reduced to 1, and cannot be increased."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""While this card is on the field, your opponents’ creatures’ AL and SPD are reduced to 1, and cannot be increased.""}, ""duration"": {""text"": ""While on field"", ""type"": ""WHILE_ON_FIELD""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": """", ""needsReview"": true}], ""notes"": """"}"
3,1st Edition,002,Fire Eleotoid,Creature,Common,Elemental,,FALSE,4,7,20,Burning Grasp,1,0,"While this card is on the field, the magic card ""Forest Fire"" cannot be destroyed by its own effect.",,,Specific named-card interaction with Forest Fire requires exact card reference and self-destruction prevention routing.,,,FALSE,1,DESTROY_MAGIC,TRUE,FALSE,"{""cardNumber"": ""002"", ""cardName"": ""Fire Eleotoid"", ""generation"": ""3"", ""edition"": ""1st Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Common"", ""creatureType"": ""Elemental"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""isField"": false, ""baseStats"": {""AL"": 4, ""SPD"": 7, ""HP"": 20, ""attackName"": ""Burning Grasp"", ""attackDice"": 1, ""modifier"": 0, ""baseHitDice"": 2}, ""rawEffectText"": ""While this card is on the field, the magic card \""Forest Fire\"" cannot be destroyed by its own effect."", ""effects"": [{""id"": ""002-E01"", ""trigger"": ""STATIC_WHILE_ON_FIELD"", ""condition"": {""type"": ""TEXT"", ""text"": ""While this card is on the field, the magic card \""Forest Fire\"" cannot be destroyed by its own effect.""}, ""actionType"": ""DESTROY_MAGIC"", ""effectGroup"": ""Magic Destruction"", ""actionText"": ""Destroy a magic card"", ""target"": ""Magic card(s) on the field"", ""value"": ""While this card is on the field, the magic card \""Forest Fire\"" cannot be destroyed by its own effect."", ""duration"": {""text"": ""While on field"", ""type"": ""WHILE_ON_FIELD""}, ""reusableFunction"": ""destroyMagic"", ""params"": {""target"": ""Magic card(s) on the field"", ""valueText"": ""While this card is on the field, the magic card \""Forest Fire\"" cannot be destroyed by its own effect."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""While this card is on the field, the magic card \""Forest Fire\"" cannot be destroyed by its own effect.""}, ""duration"": {""text"": ""While on field"", ""type"": ""WHILE_ON_FIELD""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Specific named-card interaction with Forest Fire requires exact card reference and self-destruction prevention routing."", ""needsReview"": true}], ""notes"": ""Specific named-card interaction with Forest Fire requires exact card reference and self-destruction prevention routing.""}"
3,1st Edition,003,Enlightened Soul,Creature,Legendary,Cosmic,,FALSE,1,1,20,Upon High,1,1,"While this card is in your cemetery, reduce your cemetery by 40 HP.",,,Cemetery HP reduction is an exception to normal inactive cemetery effects.,,,FALSE,1,MANUAL_FALLBACK,TRUE,FALSE,"{""cardNumber"": ""003"", ""cardName"": ""Enlightened Soul"", ""generation"": ""3"", ""edition"": ""1st Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Legendary"", ""creatureType"": ""Cosmic"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""isField"": false, ""baseStats"": {""AL"": 1, ""SPD"": 1, ""HP"": 20, ""attackName"": ""Upon High"", ""attackDice"": 1, ""modifier"": 1, ""baseHitDice"": 2}, ""rawEffectText"": ""While this card is in your cemetery, reduce your cemetery by 40 HP."", ""effects"": [{""id"": ""003-E01"", ""trigger"": ""STATIC_WHILE_ON_FIELD"", ""condition"": {""type"": ""TEXT"", ""text"": ""While this card is in your cemetery, reduce your cemetery by 40 HP.""}, ""actionType"": ""MANUAL_FALLBACK"", ""effectGroup"": ""Manual Fallback"", ""actionText"": ""Manual effect resolution needed"", ""target"": ""This creature"", ""value"": ""While this card is in your cemetery, reduce your cemetery by 40 HP."", ""duration"": {""text"": ""Immediate"", ""type"": ""IMMEDIATE""}, ""reusableFunction"": ""manualFallback"", ""params"": {""target"": ""This creature"", ""valueText"": ""While this card is in your cemetery, reduce your cemetery by 40 HP."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""While this card is in your cemetery, reduce your cemetery by 40 HP.""}, ""duration"": {""text"": ""Immediate"", ""type"": ""IMMEDIATE""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Cemetery HP reduction is an exception to normal inactive cemetery effects."", ""needsReview"": true}], ""notes"": ""Cemetery HP reduction is an exception to normal inactive cemetery effects.""}"
3,1st Edition,004,Repair Bear,Magic,Common,,Standard,FALSE,,,,,,,Heal a creature on the field 15 HP.,,,,STANDARD,NONE,FALSE,1,HEAL,FALSE,FALSE,"{""cardNumber"": ""004"", ""cardName"": ""Repair Bear"", ""generation"": ""3"", ""edition"": ""1st Edition"", ""cardKind"": ""MAGIC"", ""rarity"": ""Common"", ""creatureType"": null, ""magicType"": ""STANDARD"", ""magicSubtype"": ""NONE"", ""isEquip"": false, ""isField"": false, ""baseStats"": {""AL"": null, ""SPD"": null, ""HP"": null, ""attackName"": null, ""attackDice"": null, ""modifier"": null, ""baseHitDice"": null}, ""rawEffectText"": ""Heal a creature on the field 15 HP."", ""effects"": [{""id"": ""004-E01"", ""trigger"": ""ON_PLAY"", ""condition"": {""type"": ""TEXT"", ""text"": ""Heal a creature on the field 15 HP.""}, ""actionType"": ""HEAL"", ""effectGroup"": ""Healing"", ""actionText"": ""Heal a creature or apply lifesteal"", ""target"": ""Target creature"", ""value"": ""Heal a creature on the field 15 HP."", ""duration"": {""text"": ""Immediate"", ""type"": ""IMMEDIATE""}, ""reusableFunction"": ""heal"", ""params"": {""target"": ""Target creature"", ""valueText"": ""Heal a creature on the field 15 HP."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Heal a creature on the field 15 HP.""}, ""duration"": {""text"": ""Immediate"", ""type"": ""IMMEDIATE""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": """", ""needsReview"": false}], ""notes"": """"}"
3,1st Edition,005,Comodo,Creature,Common,Dragon,,FALSE,4,6,50,Flame Spin,2,2,,,,,,,FALSE,0,,FALSE,FALSE,"{""cardNumber"": ""005"", ""cardName"": ""Comodo"", ""generation"": ""3"", ""edition"": ""1st Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Common"", ""creatureType"": ""Dragon"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""isField"": false, ""baseStats"": {""AL"": 4, ""SPD"": 6, ""HP"": 50, ""attackName"": ""Flame Spin"", ""attackDice"": 2, ""modifier"": 2, ""baseHitDice"": 2}, ""rawEffectText"": """", ""effects"": [], ""notes"": """"}"
3,1st Edition,006,Ball Demon,Magic,Uncommon,,Infinite,TRUE,,,,,,,Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.,,,End-turn recurring damage from an Infinite Equip requires turn trigger while equipped.,INFINITE,EQUIP,FALSE,2,APPLY_STAT_MODIFIER; DAMAGE,TRUE,FALSE,"{""cardNumber"": ""006"", ""cardName"": ""Ball Demon"", ""generation"": ""3"", ""edition"": ""1st Edition"", ""cardKind"": ""MAGIC"", ""rarity"": ""Uncommon"", ""creatureType"": null, ""magicType"": ""INFINITE"", ""magicSubtype"": ""EQUIP"", ""isEquip"": true, ""isField"": false, ""baseStats"": {""AL"": null, ""SPD"": null, ""HP"": null, ""attackName"": null, ""attackDice"": null, ""modifier"": null, ""baseHitDice"": null}, ""rawEffectText"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2."", ""effects"": [{""id"": ""006-E01"", ""trigger"": ""END_OF_YOUR_TURN"", ""condition"": {""type"": ""TEXT"", ""text"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.""}, ""actionType"": ""DAMAGE"", ""effectGroup"": ""Damage"", ""actionText"": ""Inflict damage"", ""target"": ""Opponent's primary creature"", ""value"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2."", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""damage"", ""params"": {""target"": ""Opponent's primary creature"", ""valueText"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": ""INSTANT_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": ""END_OF_TURN""}, ""notes"": ""End-turn recurring damage from an Infinite Equip requires turn trigger while equipped."", ""needsReview"": true}, {""id"": ""006-E02"", ""trigger"": ""END_OF_YOUR_TURN"", ""condition"": {""type"": ""TEXT"", ""text"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.""}, ""actionType"": ""APPLY_STAT_MODIFIER"", ""effectGroup"": ""Stat Modifier"", ""actionText"": ""Apply stat modifier or stat rule"", ""target"": ""Opponent's primary creature"", ""value"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2."", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""applyStatModifier"", ""params"": {""target"": ""Opponent's primary creature"", ""valueText"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2."", ""statChanges"": [{""stat"": ""ATK_BONUS"", ""operation"": ""ADD"", ""value"": 2}], ""condition"": {""type"": ""TEXT"", ""text"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": ""INSTANT_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": ""END_OF_TURN""}, ""notes"": ""End-turn recurring damage from an Infinite Equip requires turn trigger while equipped."", ""needsReview"": true}], ""notes"": ""End-turn recurring damage from an Infinite Equip requires turn trigger while equipped.""}"
3,1st Edition,007,Steam Knight Blaster,Magic,Uncommon,,Infinite,TRUE,,,,,,,"The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.",,,Replaces base attack profile and suppresses equipped creature effect.,INFINITE,EQUIP,FALSE,2,NEGATE_CREATURE_EFFECTS; REPLACE_ATTACK_PROFILE,TRUE,FALSE,"{""cardNumber"": ""007"", ""cardName"": ""Steam Knight Blaster"", ""generation"": ""3"", ""edition"": ""1st Edition"", ""cardKind"": ""MAGIC"", ""rarity"": ""Uncommon"", ""creatureType"": null, ""magicType"": ""INFINITE"", ""magicSubtype"": ""EQUIP"", ""isEquip"": true, ""isField"": false, ""baseStats"": {""AL"": null, ""SPD"": null, ""HP"": null, ""attackName"": null, ""attackDice"": null, ""modifier"": null, ""baseHitDice"": null}, ""rawEffectText"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3."", ""effects"": [{""id"": ""007-E01"", ""trigger"": ""WHILE_EQUIPPED"", ""condition"": {""type"": ""TEXT"", ""text"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.""}, ""actionType"": ""NEGATE_CREATURE_EFFECTS"", ""effectGroup"": ""Creature Effect Suppression"", ""actionText"": ""Suppress creature effects"", ""target"": ""Equipped creature"", ""value"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3."", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""negateCreatureEffects"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Replaces base attack profile and suppresses equipped creature effect."", ""needsReview"": true}, {""id"": ""007-E02"", ""trigger"": ""WHILE_EQUIPPED"", ""condition"": {""type"": ""TEXT"", ""text"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.""}, ""actionType"": ""REPLACE_ATTACK_PROFILE"", ""effectGroup"": ""Attack Profile"", ""actionText"": ""Replace attack name/dice/modifier"", ""target"": ""Equipped creature"", ""value"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3."", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""replaceAttackProfile"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Replaces base attack profile and suppresses equipped creature effect."", ""needsReview"": true}], ""notes"": ""Replaces base attack profile and suppresses equipped creature effect.""}"
3,1st Edition,008,Cybernetic Upgrade,Magic,Legendary,,Lightning,TRUE,,,,,,,During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.,,,Lightning Equip with battle timing and automatic end-of-battle cleanup.,LIGHTNING,EQUIP,FALSE,2,APPLY_STAT_MODIFIER; SEND_TO_CEMETERY,TRUE,FALSE,"{""cardNumber"": ""008"", ""cardName"": ""Cybernetic Upgrade"", ""generation"": ""3"", ""edition"": ""1st Edition"", ""cardKind"": ""MAGIC"", ""rarity"": ""Legendary"", ""creatureType"": null, ""magicType"": ""LIGHTNING"", ""magicSubtype"": ""EQUIP"", ""isEquip"": true, ""isField"": false, ""baseStats"": {""AL"": null, ""SPD"": null, ""HP"": null, ""attackName"": null, ""attackDice"": null, ""modifier"": null, ""baseHitDice"": null}, ""rawEffectText"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12."", ""effects"": [{""id"": ""008-E01"", ""trigger"": ""WHILE_EQUIPPED"", ""condition"": {""type"": ""TEXT"", ""text"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.""}, ""actionType"": ""SEND_TO_CEMETERY"", ""effectGroup"": ""Card Movement"", ""actionText"": ""Send card to cemetery"", ""target"": ""Equipped creature"", ""value"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12."", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""sendToCemetery"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Lightning Equip with battle timing and automatic end-of-battle cleanup."", ""needsReview"": true}, {""id"": ""008-E02"", ""trigger"": ""WHILE_EQUIPPED"", ""condition"": {""type"": ""TEXT"", ""text"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.""}, ""actionType"": ""APPLY_STAT_MODIFIER"", ""effectGroup"": ""Stat Modifier"", ""actionText"": ""Apply stat modifier or stat rule"", ""target"": ""Equipped creature"", ""value"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12."", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""applyStatModifier"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12."", ""statChanges"": [{""stat"": ""ATK_BONUS"", ""operation"": ""ADD"", ""value"": 30}, {""stat"": ""HIT_BONUS"", ""operation"": ""ADD"", ""value"": 10}, {""stat"": ""AL"", ""operation"": ""ADD"", ""value"": 12}], ""condition"": {""type"": ""TEXT"", ""text"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Lightning Equip with battle timing and automatic end-of-battle cleanup."", ""needsReview"": true}], ""notes"": ""Lightning Equip with battle timing and automatic end-of-battle cleanup.""}"
3,1st Edition,009,Hoggan,Creature,Rare,Beast,,FALSE,1,2,20,Dark Wave,4,5,"At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle.",,,Limited Summon can receive damage and redirects battle from primary creature.,,,FALSE,3,DAMAGE; LIMITED_SUMMON; SEND_TO_CEMETERY,TRUE,FALSE,"{""cardNumber"": ""009"", ""cardName"": ""Hoggan"", ""generation"": ""3"", ""edition"": ""1st Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Rare"", ""creatureType"": ""Beast"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""isField"": false, ""baseStats"": {""AL"": 1, ""SPD"": 2, ""HP"": 20, ""attackName"": ""Dark Wave"", ""attackDice"": 4, ""modifier"": 5, ""baseHitDice"": 2}, ""rawEffectText"": ""At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle."", ""effects"": [{""id"": ""009-E01"", ""trigger"": ""STATIC_WHILE_ON_FIELD"", ""condition"": {""type"": ""TEXT"", ""text"": ""At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle.""}, ""actionType"": ""LIMITED_SUMMON"", ""effectGroup"": ""Limited Summon"", ""actionText"": ""Summon or interact with a Limited Summon"", ""target"": ""Opponent's primary creature"", ""value"": ""At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle."", ""duration"": {""text"": ""Immediate"", ""type"": ""IMMEDIATE""}, ""reusableFunction"": ""limitedSummon"", ""params"": {""target"": ""Opponent's primary creature"", ""valueText"": ""At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle.""}, ""duration"": {""text"": ""Immediate"", ""type"": ""IMMEDIATE""}, ""damageType"": ""INSTANT_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": ""BEGINNING_OF_TURN""}, ""notes"": ""Limited Summon can receive damage and redirects battle from primary creature."", ""needsReview"": true}, {""id"": ""009-E02"", ""trigger"": ""STATIC_WHILE_ON_FIELD"", ""condition"": {""type"": ""TEXT"", ""text"": ""At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle.""}, ""actionType"": ""DAMAGE"", ""effectGroup"": ""Damage"", ""actionText"": ""Inflict damage"", ""target"": ""Opponent's primary creature"", ""value"": ""At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle."", ""duration"": {""text"": ""Immediate"", ""type"": ""IMMEDIATE""}, ""reusableFunction"": ""damage"", ""params"": {""target"": ""Opponent's primary creature"", ""valueText"": ""At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle.""}, ""duration"": {""text"": ""Immediate"", ""type"": ""IMMEDIATE""}, ""damageType"": ""INSTANT_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": ""BEGINNING_OF_TURN""}, ""notes"": ""Limited Summon can receive damage and redirects battle from primary creature."", ""needsReview"": true}, {""id"": ""009-E03"", ""trigger"": ""STATIC_WHILE_ON_FIELD"", ""condition"": {""type"": ""TEXT"", ""text"": ""At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle.""}, ""actionType"": ""SEND_TO_CEMETERY"", ""effectGroup"": ""Card Movement"", ""actionText"": ""Send card to cemetery"", ""target"": ""Opponent's primary creature"", ""value"": ""At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle."", ""duration"": {""text"": ""Immediate"", ""type"": ""IMMEDIATE""}, ""reusableFunction"": ""sendToCemetery"", ""params"": {""target"": ""Opponent's primary creature"", ""valueText"": ""At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle.""}, ""duration"": {""text"": ""Immediate"", ""type"": ""IMMEDIATE""}, ""damageType"": ""INSTANT_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": ""BEGINNING_OF_TURN""}, ""notes"": ""Limited Summon can receive damage and redirects battle from primary creature."", ""needsReview"": true}], ""notes"": ""Limited Summon can receive damage and redirects battle from primary creature.""}"
3,1st Edition,010,Fazard,Creature,Epic,Cosmic,,FALSE,12,10,100,Demi Claw,4,5,"While this card is on the field, Standard magic cards cannot be played.",,,,,,FALSE,1,MANUAL_FALLBACK,TRUE,FALSE,"{""cardNumber"": ""010"", ""cardName"": ""Fazard"", ""generation"": ""3"", ""edition"": ""1st Edition"", ""cardKind"": ""CREATURE"", ""rarity"": ""Epic"", ""creatureType"": ""Cosmic"", ""magicType"": null, ""magicSubtype"": null, ""isEquip"": false, ""isField"": false, ""baseStats"": {""AL"": 12, ""SPD"": 10, ""HP"": 100, ""attackName"": ""Demi Claw"", ""attackDice"": 4, ""modifier"": 5, ""baseHitDice"": 2}, ""rawEffectText"": ""While this card is on the field, Standard magic cards cannot be played."", ""effects"": [{""id"": ""010-E01"", ""trigger"": ""STATIC_WHILE_ON_FIELD"", ""condition"": {""type"": ""TEXT"", ""text"": ""While this card is on the field, Standard magic cards cannot be played.""}, ""actionType"": ""MANUAL_FALLBACK"", ""effectGroup"": ""Manual Fallback"", ""actionText"": ""Manual effect resolution needed"", ""target"": ""Magic card(s) on the field"", ""value"": ""While this card is on the field, Standard magic cards cannot be played."", ""duration"": {""text"": ""While on field"", ""type"": ""WHILE_ON_FIELD""}, ""reusableFunction"": ""manualFallback"", ""params"": {""target"": ""Magic card(s) on the field"", ""valueText"": ""While this card is on the field, Standard magic cards cannot be played."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""While this card is on the field, Standard magic cards cannot be played.""}, ""duration"": {""text"": ""While on field"", ""type"": ""WHILE_ON_FIELD""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": """", ""needsReview"": true}], ""notes"": """"}"
