card_number,card_name,effect_id,trigger,engine_action_type,reusable_function,target,duration_text,needs_manual_review,original_effect_text
001,Dark Angel,001-E01,STATIC_WHILE_ON_FIELD,MANUAL_FALLBACK,manualFallback,This creature,While on field,TRUE,"While this card is on the field, your opponents’ creatures’ AL and SPD are reduced to 1, and cannot be increased."
002,Fire Eleotoid,002-E01,STATIC_WHILE_ON_FIELD,DESTROY_MAGIC,destroyMagic,Magic card(s) on the field,While on field,TRUE,"While this card is on the field, the magic card ""Forest Fire"" cannot be destroyed by its own effect."
003,Enlightened Soul,003-E01,STATIC_WHILE_ON_FIELD,MANUAL_FALLBACK,manualFallback,This creature,Immediate,TRUE,"While this card is in your cemetery, reduce your cemetery by 40 HP."
004,Repair Bear,004-E01,ON_PLAY,HEAL,heal,Target creature,Immediate,FALSE,Heal a creature on the field 15 HP.
006,Ball Demon,006-E01,END_OF_YOUR_TURN,DAMAGE,damage,Opponent's primary creature,While equipped,TRUE,Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.
006,Ball Demon,006-E02,END_OF_YOUR_TURN,APPLY_STAT_MODIFIER,applyStatModifier,Opponent's primary creature,While equipped,TRUE,Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.
007,Steam Knight Blaster,007-E01,WHILE_EQUIPPED,NEGATE_CREATURE_EFFECTS,negateCreatureEffects,Equipped creature,While equipped,TRUE,"The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3."
007,Steam Knight Blaster,007-E02,WHILE_EQUIPPED,REPLACE_ATTACK_PROFILE,replaceAttackProfile,Equipped creature,While equipped,TRUE,"The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3."
008,Cybernetic Upgrade,008-E01,WHILE_EQUIPPED,SEND_TO_CEMETERY,sendToCemetery,Equipped creature,While equipped,TRUE,During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.
008,Cybernetic Upgrade,008-E02,WHILE_EQUIPPED,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,While equipped,TRUE,During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.
009,Hoggan,009-E01,STATIC_WHILE_ON_FIELD,LIMITED_SUMMON,limitedSummon,Opponent's primary creature,Immediate,TRUE,"At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle."
009,Hoggan,009-E02,STATIC_WHILE_ON_FIELD,DAMAGE,damage,Opponent's primary creature,Immediate,TRUE,"At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle."
009,Hoggan,009-E03,STATIC_WHILE_ON_FIELD,SEND_TO_CEMETERY,sendToCemetery,Opponent's primary creature,Immediate,TRUE,"At the beginning of your opponent’s battle, play this card from your hand as a Limited Summon. Your opponent must battle this card in place of your primary creature. This card can be damaged as a Limited Summon. Send this card to your cemetery after battle."
010,Fazard,010-E01,STATIC_WHILE_ON_FIELD,MANUAL_FALLBACK,manualFallback,Magic card(s) on the field,While on field,TRUE,"While this card is on the field, Standard magic cards cannot be played."
011,Mr. Evil,011-E01,WHILE_EQUIPPED,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,While equipped,FALSE,AL: +3. Hit: +3.
012,Crow,012-E01,SUMMON_REQUIREMENT,SUMMON_REQUIREMENT,validateSummonRequirement,Your primary creature,Immediate,TRUE,"Summon Requirement: You may summon this creature normally, or Limited Summon it if your primary creature has ""Crow"" in its name. If your primary creature leaves the field or changes control, return this card to your hand."
012,Crow,012-E02,SUMMON_REQUIREMENT,LIMITED_SUMMON,limitedSummon,Your primary creature,Immediate,TRUE,"Summon Requirement: You may summon this creature normally, or Limited Summon it if your primary creature has ""Crow"" in its name. If your primary creature leaves the field or changes control, return this card to your hand."
012,Crow,012-E03,SUMMON_REQUIREMENT,MOVE_CARD,moveCard,Your primary creature,Immediate,TRUE,"Summon Requirement: You may summon this creature normally, or Limited Summon it if your primary creature has ""Crow"" in its name. If your primary creature leaves the field or changes control, return this card to your hand."
013,Steam Powered Girl,013-E01,WHILE_EQUIPPED,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,1 turn cycle,TRUE,"For 1 turn cycle, for every card in your hand, add Hit Dice Rolls +1 and Atk Dice Rolls +1."
014,Monster Armor,014-E01,WHILE_EQUIPPED,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,While equipped,FALSE,Atk: +3. Hit: +3. AL: +3. SPD: +3. Atk Dice Rolls: +1.
015,The Good Boy,015-E01,STATIC_WHILE_ON_FIELD,APPLY_STAT_MODIFIER,applyStatModifier,Your primary creature,While on field,FALSE,This card only affects your primary creature. Atk: +1. Hit: +1. SPD: +1. AL: +1.
016,Exhaustion,016-E01,WHILE_EQUIPPED,MANUAL_FALLBACK,manualFallback,Equipped creature,1 turn cycle,TRUE,Reduce the target creature’s Hit and Atk Modifier to 0 for 1 turn cycle.
017,Shield of Light,017-E01,WHILE_EQUIPPED,DESTROY_MAGIC,destroyMagic,Equipped creature,While equipped,TRUE,Roll 1 die prior to any damage the equipped creature receives. If the result is: 1-2: Heal for the damage instead. 3-4: Receive damage as normal. 5-6: Destroy this card.
017,Shield of Light,017-E02,WHILE_EQUIPPED,HEAL,heal,Equipped creature,While equipped,TRUE,Roll 1 die prior to any damage the equipped creature receives. If the result is: 1-2: Heal for the damage instead. 3-4: Receive damage as normal. 5-6: Destroy this card.
017,Shield of Light,017-E03,WHILE_EQUIPPED,DAMAGE,damage,Equipped creature,While equipped,TRUE,Roll 1 die prior to any damage the equipped creature receives. If the result is: 1-2: Heal for the damage instead. 3-4: Receive damage as normal. 5-6: Destroy this card.
017,Shield of Light,017-E04,WHILE_EQUIPPED,ROLL_TABLE,resolveRollTable,Equipped creature,While equipped,TRUE,Roll 1 die prior to any damage the equipped creature receives. If the result is: 1-2: Heal for the damage instead. 3-4: Receive damage as normal. 5-6: Destroy this card.
018,Enchantment,018-E01,ON_PLAY,DAMAGE,damage,Target creature,Immediate,TRUE,"If you miss your Hit Roll, play this card from your hand. Inflict 10 damage to the missed creature."
019,Hell Authority,019-E01,ON_PLAY,PREVENT_CARD_PLAY,preventCardPlay,Magic card(s) on the field,1 turn cycle,FALSE,Your opponent cannot play magic cards for 1 turn cycle.
020,Witch’s Cabin,020-E01,WHEN_OPPONENT_DRAWS_CARD,MANUAL_FALLBACK,manualFallback,Target / controller as specified by card text,Immediate,TRUE,Play this card from your hand when your opponent draws a card. Send the drawn card to the bottom of their deck.
021,Possessed Dummy,021-E01,WHILE_EQUIPPED,LIMITED_SUMMON,limitedSummon,Opponent's primary creature,While equipped,TRUE,"Play this card when your opponent sends a creature to their cemetery. Summon that creature as your Limited Summon. If this card or your primary creature is removed from the field, or this effect is negated, return it to their cemetery."
021,Possessed Dummy,021-E02,WHILE_EQUIPPED,NEGATE_CARD_EFFECT,negateCardEffect,Opponent's primary creature,While equipped,TRUE,"Play this card when your opponent sends a creature to their cemetery. Summon that creature as your Limited Summon. If this card or your primary creature is removed from the field, or this effect is negated, return it to their cemetery."
021,Possessed Dummy,021-E03,WHILE_EQUIPPED,MOVE_CARD,moveCard,Opponent's primary creature,While equipped,TRUE,"Play this card when your opponent sends a creature to their cemetery. Summon that creature as your Limited Summon. If this card or your primary creature is removed from the field, or this effect is negated, return it to their cemetery."
021,Possessed Dummy,021-E04,WHILE_EQUIPPED,SEND_TO_CEMETERY,sendToCemetery,Opponent's primary creature,While equipped,TRUE,"Play this card when your opponent sends a creature to their cemetery. Summon that creature as your Limited Summon. If this card or your primary creature is removed from the field, or this effect is negated, return it to their cemetery."
022,Shapeshifter,022-E01,BEFORE_HIT_ROLL,MANUAL_FALLBACK,manualFallback,This creature,This turn/battle,TRUE,"Prior to battle, choose 1 of the forms below for this battle. Eagle: +5 SPD. Deer: +3 Modifier. Bear: +4 Atk Dice Rolls. Turtle: +6 AL."
024,Mosquito Man,024-E01,DURING_BATTLE,HEAL,heal,This creature,This turn/battle,TRUE,This creature heals for 1/2 of the Atk damage it inflicts during battle.
024,Mosquito Man,024-E02,DURING_BATTLE,DAMAGE,damage,This creature,This turn/battle,TRUE,This creature heals for 1/2 of the Atk damage it inflicts during battle.
026,Cabal Warchief,026-E01,DURING_YOUR_TURN_ACTIVATED,MANUAL_FALLBACK,manualFallback,This creature,Immediate,TRUE,"This creature may initiate battle twice during your turn. Your opponent can only return attack for 1 of these battles. This creature cannot change control, or be removed from the field unless killed."
027,Doppelganger,027-E01,WHILE_EQUIPPED,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,While equipped,FALSE,Atk Dice Rolls: +2. Hit Dice Rolls: +2.
028,Catcow,028-E01,STATIC_WHILE_ON_FIELD,APPLY_STAT_MODIFIER,applyStatModifier,All creatures matching condition,2 turn cycles,TRUE,"For 2 turn cycles, all creatures switch their own base Atk Dice Rolls and Modifier."
029,Earth Eleotoid,029-E01,STATIC_WHILE_ON_FIELD,DAMAGE,damage,This creature,Immediate,TRUE,"This card inflicts 2x Atk damage to creatures in or near fire, but receives 2x Atk damage from creatures in or near water."
