effect_id,card_number,card_name,card_kind,rarity,creature_type,magic_type,magic_subtype,is_equip,is_field,trigger,condition_type,condition_values_json,action_order,effect_group,engine_action_type,reusable_function,target,value_text,stat_changes_json,structured_params_json,damage_type,duration_type,duration_amount,duration_unit,duration_text,stack_rule,tick_timing,requires_response_window,source_linked,uses_anchoring,needs_manual_review,implementation_notes,original_effect_text,engine_effect_json
001-E01,001,Dark Angel,CREATURE,Epic,Cosmic,,,FALSE,FALSE,STATIC_WHILE_ON_FIELD,TEXT,"{""type"": ""TEXT"", ""text"": ""While this card is on the field, your opponents’ creatures’ AL and SPD are reduced to 1, and cannot be increased.""}",1,Manual Fallback,MANUAL_FALLBACK,manualFallback,This creature,"While this card is on the field, your opponents’ creatures’ AL and SPD are reduced to 1, and cannot be increased.",[],"{""target"": ""This creature"", ""valueText"": ""While this card is on the field, your opponents’ creatures’ AL and SPD are reduced to 1, and cannot be increased."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""While this card is on the field, your opponents’ creatures’ AL and SPD are reduced to 1, and cannot be increased.""}, ""duration"": {""text"": ""While on field"", ""type"": ""WHILE_ON_FIELD""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}",,WHILE_ON_FIELD,,,While on field,,,FALSE,FALSE,FALSE,TRUE,,"While this card is on the field, your opponents’ creatures’ AL and SPD are reduced to 1, and cannot be increased.","{""id"": ""001-E01"", ""trigger"": ""STATIC_WHILE_ON_FIELD"", ""condition"": {""type"": ""TEXT"", ""text"": ""While this card is on the field, your opponents’ creatures’ AL and SPD are reduced to 1, and cannot be increased.""}, ""actionType"": ""MANUAL_FALLBACK"", ""effectGroup"": ""Manual Fallback"", ""actionText"": ""Manual effect resolution needed"", ""target"": ""This creature"", ""value"": ""While this card is on the field, your opponents’ creatures’ AL and SPD are reduced to 1, and cannot be increased."", ""duration"": {""text"": ""While on field"", ""type"": ""WHILE_ON_FIELD""}, ""reusableFunction"": ""manualFallback"", ""params"": {""target"": ""This creature"", ""valueText"": ""While this card is on the field, your opponents’ creatures’ AL and SPD are reduced to 1, and cannot be increased."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""While this card is on the field, your opponents’ creatures’ AL and SPD are reduced to 1, and cannot be increased.""}, ""duration"": {""text"": ""While on field"", ""type"": ""WHILE_ON_FIELD""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": """", ""needsReview"": true}"
002-E01,002,Fire Eleotoid,CREATURE,Common,Elemental,,,FALSE,FALSE,STATIC_WHILE_ON_FIELD,TEXT,"{""type"": ""TEXT"", ""text"": ""While this card is on the field, the magic card \""Forest Fire\"" cannot be destroyed by its own effect.""}",1,Magic Destruction,DESTROY_MAGIC,destroyMagic,Magic card(s) on the field,"While this card is on the field, the magic card ""Forest Fire"" cannot be destroyed by its own effect.",[],"{""target"": ""Magic card(s) on the field"", ""valueText"": ""While this card is on the field, the magic card \""Forest Fire\"" cannot be destroyed by its own effect."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""While this card is on the field, the magic card \""Forest Fire\"" cannot be destroyed by its own effect.""}, ""duration"": {""text"": ""While on field"", ""type"": ""WHILE_ON_FIELD""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}",,WHILE_ON_FIELD,,,While on field,,,FALSE,FALSE,FALSE,TRUE,Specific named-card interaction with Forest Fire requires exact card reference and self-destruction prevention routing.,"While this card is on the field, the magic card ""Forest Fire"" cannot be destroyed by its own effect.","{""id"": ""002-E01"", ""trigger"": ""STATIC_WHILE_ON_FIELD"", ""condition"": {""type"": ""TEXT"", ""text"": ""While this card is on the field, the magic card \""Forest Fire\"" cannot be destroyed by its own effect.""}, ""actionType"": ""DESTROY_MAGIC"", ""effectGroup"": ""Magic Destruction"", ""actionText"": ""Destroy a magic card"", ""target"": ""Magic card(s) on the field"", ""value"": ""While this card is on the field, the magic card \""Forest Fire\"" cannot be destroyed by its own effect."", ""duration"": {""text"": ""While on field"", ""type"": ""WHILE_ON_FIELD""}, ""reusableFunction"": ""destroyMagic"", ""params"": {""target"": ""Magic card(s) on the field"", ""valueText"": ""While this card is on the field, the magic card \""Forest Fire\"" cannot be destroyed by its own effect."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""While this card is on the field, the magic card \""Forest Fire\"" cannot be destroyed by its own effect.""}, ""duration"": {""text"": ""While on field"", ""type"": ""WHILE_ON_FIELD""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Specific named-card interaction with Forest Fire requires exact card reference and self-destruction prevention routing."", ""needsReview"": true}"
003-E01,003,Enlightened Soul,CREATURE,Legendary,Cosmic,,,FALSE,FALSE,STATIC_WHILE_ON_FIELD,TEXT,"{""type"": ""TEXT"", ""text"": ""While this card is in your cemetery, reduce your cemetery by 40 HP.""}",1,Manual Fallback,MANUAL_FALLBACK,manualFallback,This creature,"While this card is in your cemetery, reduce your cemetery by 40 HP.",[],"{""target"": ""This creature"", ""valueText"": ""While this card is in your cemetery, reduce your cemetery by 40 HP."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""While this card is in your cemetery, reduce your cemetery by 40 HP.""}, ""duration"": {""text"": ""Immediate"", ""type"": ""IMMEDIATE""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}",,IMMEDIATE,,,Immediate,,,FALSE,FALSE,FALSE,TRUE,Cemetery HP reduction is an exception to normal inactive cemetery effects.,"While this card is in your cemetery, reduce your cemetery by 40 HP.","{""id"": ""003-E01"", ""trigger"": ""STATIC_WHILE_ON_FIELD"", ""condition"": {""type"": ""TEXT"", ""text"": ""While this card is in your cemetery, reduce your cemetery by 40 HP.""}, ""actionType"": ""MANUAL_FALLBACK"", ""effectGroup"": ""Manual Fallback"", ""actionText"": ""Manual effect resolution needed"", ""target"": ""This creature"", ""value"": ""While this card is in your cemetery, reduce your cemetery by 40 HP."", ""duration"": {""text"": ""Immediate"", ""type"": ""IMMEDIATE""}, ""reusableFunction"": ""manualFallback"", ""params"": {""target"": ""This creature"", ""valueText"": ""While this card is in your cemetery, reduce your cemetery by 40 HP."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""While this card is in your cemetery, reduce your cemetery by 40 HP.""}, ""duration"": {""text"": ""Immediate"", ""type"": ""IMMEDIATE""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Cemetery HP reduction is an exception to normal inactive cemetery effects."", ""needsReview"": true}"
004-E01,004,Repair Bear,MAGIC,Common,,STANDARD,NONE,FALSE,FALSE,ON_PLAY,TEXT,"{""type"": ""TEXT"", ""text"": ""Heal a creature on the field 15 HP.""}",1,Healing,HEAL,heal,Target creature,Heal a creature on the field 15 HP.,[],"{""target"": ""Target creature"", ""valueText"": ""Heal a creature on the field 15 HP."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Heal a creature on the field 15 HP.""}, ""duration"": {""text"": ""Immediate"", ""type"": ""IMMEDIATE""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}",,IMMEDIATE,,,Immediate,,,FALSE,FALSE,FALSE,FALSE,,Heal a creature on the field 15 HP.,"{""id"": ""004-E01"", ""trigger"": ""ON_PLAY"", ""condition"": {""type"": ""TEXT"", ""text"": ""Heal a creature on the field 15 HP.""}, ""actionType"": ""HEAL"", ""effectGroup"": ""Healing"", ""actionText"": ""Heal a creature or apply lifesteal"", ""target"": ""Target creature"", ""value"": ""Heal a creature on the field 15 HP."", ""duration"": {""text"": ""Immediate"", ""type"": ""IMMEDIATE""}, ""reusableFunction"": ""heal"", ""params"": {""target"": ""Target creature"", ""valueText"": ""Heal a creature on the field 15 HP."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Heal a creature on the field 15 HP.""}, ""duration"": {""text"": ""Immediate"", ""type"": ""IMMEDIATE""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": false, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": """", ""needsReview"": false}"
006-E01,006,Ball Demon,MAGIC,Uncommon,,INFINITE,EQUIP,TRUE,FALSE,END_OF_YOUR_TURN,TEXT,"{""type"": ""TEXT"", ""text"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.""}",1,Damage,DAMAGE,damage,Opponent's primary creature,Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.,[],"{""target"": ""Opponent's primary creature"", ""valueText"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": ""INSTANT_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": ""END_OF_TURN""}",INSTANT_DAMAGE,WHILE_EQUIPPED,,,While equipped,,END_OF_TURN,FALSE,FALSE,TRUE,TRUE,End-turn recurring damage from an Infinite Equip requires turn trigger while equipped.,Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.,"{""id"": ""006-E01"", ""trigger"": ""END_OF_YOUR_TURN"", ""condition"": {""type"": ""TEXT"", ""text"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.""}, ""actionType"": ""DAMAGE"", ""effectGroup"": ""Damage"", ""actionText"": ""Inflict damage"", ""target"": ""Opponent's primary creature"", ""value"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2."", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""damage"", ""params"": {""target"": ""Opponent's primary creature"", ""valueText"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": ""INSTANT_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": ""END_OF_TURN""}, ""notes"": ""End-turn recurring damage from an Infinite Equip requires turn trigger while equipped."", ""needsReview"": true}"
006-E02,006,Ball Demon,MAGIC,Uncommon,,INFINITE,EQUIP,TRUE,FALSE,END_OF_YOUR_TURN,TEXT,"{""type"": ""TEXT"", ""text"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.""}",2,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Opponent's primary creature,Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.,"[{""stat"": ""ATK_BONUS"", ""operation"": ""ADD"", ""value"": 2}]","{""target"": ""Opponent's primary creature"", ""valueText"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2."", ""statChanges"": [{""stat"": ""ATK_BONUS"", ""operation"": ""ADD"", ""value"": 2}], ""condition"": {""type"": ""TEXT"", ""text"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": ""INSTANT_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": ""END_OF_TURN""}",INSTANT_DAMAGE,WHILE_EQUIPPED,,,While equipped,,END_OF_TURN,FALSE,FALSE,TRUE,TRUE,End-turn recurring damage from an Infinite Equip requires turn trigger while equipped.,Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.,"{""id"": ""006-E02"", ""trigger"": ""END_OF_YOUR_TURN"", ""condition"": {""type"": ""TEXT"", ""text"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.""}, ""actionType"": ""APPLY_STAT_MODIFIER"", ""effectGroup"": ""Stat Modifier"", ""actionText"": ""Apply stat modifier or stat rule"", ""target"": ""Opponent's primary creature"", ""value"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2."", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""applyStatModifier"", ""params"": {""target"": ""Opponent's primary creature"", ""valueText"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2."", ""statChanges"": [{""stat"": ""ATK_BONUS"", ""operation"": ""ADD"", ""value"": 2}], ""condition"": {""type"": ""TEXT"", ""text"": ""Inflict 2 damage to your opponent’s primary creature at the end of your turn. Atk: +2.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": ""INSTANT_DAMAGE"", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": ""END_OF_TURN""}, ""notes"": ""End-turn recurring damage from an Infinite Equip requires turn trigger while equipped."", ""needsReview"": true}"
007-E01,007,Steam Knight Blaster,MAGIC,Uncommon,,INFINITE,EQUIP,TRUE,FALSE,WHILE_EQUIPPED,TEXT,"{""type"": ""TEXT"", ""text"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.""}",1,Creature Effect Suppression,NEGATE_CREATURE_EFFECTS,negateCreatureEffects,Equipped creature,"The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.",[],"{""target"": ""Equipped creature"", ""valueText"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}",,WHILE_EQUIPPED,,,While equipped,,,FALSE,FALSE,TRUE,TRUE,Replaces base attack profile and suppresses equipped creature effect.,"The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.","{""id"": ""007-E01"", ""trigger"": ""WHILE_EQUIPPED"", ""condition"": {""type"": ""TEXT"", ""text"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.""}, ""actionType"": ""NEGATE_CREATURE_EFFECTS"", ""effectGroup"": ""Creature Effect Suppression"", ""actionText"": ""Suppress creature effects"", ""target"": ""Equipped creature"", ""value"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3."", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""negateCreatureEffects"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Replaces base attack profile and suppresses equipped creature effect."", ""needsReview"": true}"
007-E02,007,Steam Knight Blaster,MAGIC,Uncommon,,INFINITE,EQUIP,TRUE,FALSE,WHILE_EQUIPPED,TEXT,"{""type"": ""TEXT"", ""text"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.""}",2,Attack Profile,REPLACE_ATTACK_PROFILE,replaceAttackProfile,Equipped creature,"The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.",[],"{""target"": ""Equipped creature"", ""valueText"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}",,WHILE_EQUIPPED,,,While equipped,,,FALSE,FALSE,TRUE,TRUE,Replaces base attack profile and suppresses equipped creature effect.,"The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.","{""id"": ""007-E02"", ""trigger"": ""WHILE_EQUIPPED"", ""condition"": {""type"": ""TEXT"", ""text"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.""}, ""actionType"": ""REPLACE_ATTACK_PROFILE"", ""effectGroup"": ""Attack Profile"", ""actionText"": ""Replace attack name/dice/modifier"", ""target"": ""Equipped creature"", ""value"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3."", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""replaceAttackProfile"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""The equipped creature loses its effect. Replace its base Atk Dice Rolls and Modifier with Proto Blast, 3 dice, +3.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Replaces base attack profile and suppresses equipped creature effect."", ""needsReview"": true}"
008-E01,008,Cybernetic Upgrade,MAGIC,Legendary,,LIGHTNING,EQUIP,TRUE,FALSE,WHILE_EQUIPPED,TEXT,"{""type"": ""TEXT"", ""text"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.""}",1,Card Movement,SEND_TO_CEMETERY,sendToCemetery,Equipped creature,During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.,[],"{""target"": ""Equipped creature"", ""valueText"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}",,WHILE_EQUIPPED,,,While equipped,,,TRUE,FALSE,TRUE,TRUE,Lightning Equip with battle timing and automatic end-of-battle cleanup.,During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.,"{""id"": ""008-E01"", ""trigger"": ""WHILE_EQUIPPED"", ""condition"": {""type"": ""TEXT"", ""text"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.""}, ""actionType"": ""SEND_TO_CEMETERY"", ""effectGroup"": ""Card Movement"", ""actionText"": ""Send card to cemetery"", ""target"": ""Equipped creature"", ""value"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12."", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""sendToCemetery"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12."", ""statChanges"": [], ""condition"": {""type"": ""TEXT"", ""text"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Lightning Equip with battle timing and automatic end-of-battle cleanup."", ""needsReview"": true}"
008-E02,008,Cybernetic Upgrade,MAGIC,Legendary,,LIGHTNING,EQUIP,TRUE,FALSE,WHILE_EQUIPPED,TEXT,"{""type"": ""TEXT"", ""text"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.""}",2,Stat Modifier,APPLY_STAT_MODIFIER,applyStatModifier,Equipped creature,During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.,"[{""stat"": ""ATK_BONUS"", ""operation"": ""ADD"", ""value"": 30}, {""stat"": ""HIT_BONUS"", ""operation"": ""ADD"", ""value"": 10}, {""stat"": ""AL"", ""operation"": ""ADD"", ""value"": 12}]","{""target"": ""Equipped creature"", ""valueText"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12."", ""statChanges"": [{""stat"": ""ATK_BONUS"", ""operation"": ""ADD"", ""value"": 30}, {""stat"": ""HIT_BONUS"", ""operation"": ""ADD"", ""value"": 10}, {""stat"": ""AL"", ""operation"": ""ADD"", ""value"": 12}], ""condition"": {""type"": ""TEXT"", ""text"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}",,WHILE_EQUIPPED,,,While equipped,,,TRUE,FALSE,TRUE,TRUE,Lightning Equip with battle timing and automatic end-of-battle cleanup.,During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.,"{""id"": ""008-E02"", ""trigger"": ""WHILE_EQUIPPED"", ""condition"": {""type"": ""TEXT"", ""text"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.""}, ""actionType"": ""APPLY_STAT_MODIFIER"", ""effectGroup"": ""Stat Modifier"", ""actionText"": ""Apply stat modifier or stat rule"", ""target"": ""Equipped creature"", ""value"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12."", ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""reusableFunction"": ""applyStatModifier"", ""params"": {""target"": ""Equipped creature"", ""valueText"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12."", ""statChanges"": [{""stat"": ""ATK_BONUS"", ""operation"": ""ADD"", ""value"": 30}, {""stat"": ""HIT_BONUS"", ""operation"": ""ADD"", ""value"": 10}, {""stat"": ""AL"", ""operation"": ""ADD"", ""value"": 12}], ""condition"": {""type"": ""TEXT"", ""text"": ""During your opponent’s battle play this card. Send this card to the cemetery at the end of that battle. Atk: +30. Hit: +10. AL: +12.""}, ""duration"": {""text"": ""While equipped"", ""type"": ""WHILE_EQUIPPED""}, ""damageType"": """", ""sourceLinked"": false, ""usesAnchoring"": true, ""roundingMode"": null, ""stackRule"": null, ""tickTiming"": null}, ""notes"": ""Lightning Equip with battle timing and automatic end-of-battle cleanup."", ""needsReview"": true}"
